title,authors,journal,date,abstract,link,source
Pyruvate Dehydrogenase Kinase 4 Gene Expression Is Highly Responsive to Hypertonic Saline Administration in Chicks.,"Dialoke Nnamdi Godswill, Murata Kaoruko, Sakanashi Yumi",Animal science journal = Nihon chikusan Gakkaiho,2026-05-28,"Proteins and lipids are used as sources of endogenous water under dehydrated conditions in birds. However, it is unclear whether protein and fat are catabolized by dehydration in chickens. Elevated plasma osmolality is one of the responses to dehydration. The present study attempted to clarify the dose-dependent effects of hypertonic saline on plasma components and protein and lipid metabolism-rel",https://pubmed.ncbi.nlm.nih.gov/42206458/,PubMed
"I-tRF-Asp Promotes Vascular Remodeling in Hypoxic Pulmonary Hypertension Via hnRNPU Phase Separation, Which Affects TCF7L2 Alternative Splicing.","Yuan Hao, Chen Bo, Gao Danni","Arteriosclerosis, thrombosis, and vascular biology",2026-05-28,"Pulmonary hypertension (PH) is a fatal disease characterized by pulmonary vascular remodeling, primarily driven by excessive proliferation of pulmonary arterial smooth muscle cells (PASMCs). Although noncoding RNAs, such as circular RNAs, have been implicated in PH, the role of tRNA-derived small RNA remains poorly understood. Among them, i-tRF (internal tRNA-derived fragment)-Asp represents a nov",https://pubmed.ncbi.nlm.nih.gov/42206368/,PubMed
Evaluation of the Osteogenic Potential of Periodontal Ligament and Tooth-Derived Substrates Effect on Osteogenesis: An In Vitro Pilot Study.,"Carvalho Tiago Pinto, Resck Thiago, Kirsch Davi",Journal of maxillofacial and oral surgery,2026-05-28,"The goal of this in vitro pilot study was to compare the osteogenic potential of different ground human tooth preparations. Twelve maxillary third molars were included and divided into four groups: FT (full tooth), containing all dental tissues (enamel, dentin, pulp, cementum, and periodontal ligament); WE, without enamel; WPL, without periodontal ligament; and WEPL, without enamel and periodontal",https://pubmed.ncbi.nlm.nih.gov/42206141/,PubMed
Gardenoside restores blood-brain barrier integrity following ischemic stroke via AMPK-dependent ZO-1 preservation.,Jia Rongze,Frontiers in behavioral neuroscience,2026-05-28,"Blood-brain barrier (BBB) disruption is a critical pathological feature of ischemic stroke, yet effective therapies targeting BBB repair remain limited. Gardenoside, an iridoid glycoside from  Male and female C57BL/6 mice (8-10 weeks) underwent transient middle cerebral artery occlusion (MCAO; 60 min ischemia, 24 h reperfusion). Gardenoside (20 mg/kg/day, i.p.) was administered for 21 days pre-MCA",https://pubmed.ncbi.nlm.nih.gov/42206091/,PubMed
Nitidine chloride suppresses polo-like kinase 1 via MYCN-associated transcriptional regulation in colorectal cancer: a multi-omics and spatial transcriptomics study.,"Huang Xiao-Jue, Mo Liu-Hui, Wu Ke-Jun",Frontiers in oncology,2026-05-28,"Colorectal cancer (CRC) remains a major global health burden. While nitidine chloride (NC) exhibits anti-tumor effects, its molecular targets in CRC are still largely unknown. To delineate the role of Polo-like kinase 1 (PLK1) in CRC, we combined RNA sequencing with comprehensive multi-omics integration across 3,513 specimens (2,256 tumor and 1,257 non-tumor). Single-cell and spatial transcriptomi",https://pubmed.ncbi.nlm.nih.gov/42205755/,PubMed
Transcript-independent quantitative analysis of RNA cap structures by LC-MS/MS.,"Kilburn Ryan, Gomez Rachel C, Evans Steven",Molecular therapy. Advances,2026-05-28,"Incorporation of the 5' cap into RNA is a critical quality attribute that requires accurate assessment for therapeutic application. Existing analytical approaches often rely on transcript-specific probes or sequence-dependent workflows, which limit throughput and platform-level applicability. Here, we describe a quantitative, transcript-independent LC-MS/MS assay for RNA cap incorporation designed",https://pubmed.ncbi.nlm.nih.gov/42205550/,PubMed
Impact of ,"Yin Wen, Zeng Tian, Ren Chengrui",Frontiers in cellular and infection microbiology,2026-05-28,The polymorphism of killer-cell immunoglobulin-like receptors (KIRs) and human leukocyte antigen (HLA) genes determines the host's susceptibility to viral infections. This study aimed to investigate the impact of five single nucleotide polymorphisms (SNPs) in ,https://pubmed.ncbi.nlm.nih.gov/42205473/,PubMed
"Zerumbone Induces Apoptosis and Inhibits Migration of A2058 Melanoma stem-like Cells by Producing Reactive Oxygen Species, Causing G2/M Cell Cycle Arrest, and Controlling the Expression of Genes Linked to Metastasis.","Ostadi Atieh, Vahedi Mohammad Mahdi, Abbasinezhad-Moud Farzaneh",Indian journal of clinical biochemistry : IJCB,2026-05-28,"The anticancer properties of Zerumbone, derived from the Zingiberaceae, is attracting increasing interest. Melanomas are the type of skin cancer associated with a high mortality, and current treatments have poor efficacy. This current research assesses the potential of Zerumbone to inhibit some of the malignant characteristics exhibited in the human melanoma cell line, A2058, in vitro. The Resazur",https://pubmed.ncbi.nlm.nih.gov/42205222/,PubMed
Assessment of Circulating Cell Free DNA Methylation Biomarker of Panel of Selected Genes for Lung Cancer Detection.,"Karpathak Supriya, Garg Rajiv, Ahmad Mohammad Kaleem",Indian journal of clinical biochemistry : IJCB,2026-05-28,"Lung cancer (LC) is a well-known cause of cancer-related death worldwide. Early diagnosis of LC is an unmet need to improve the treatment response. In present study, we have analyzed the promoter methylation of a panel of genes in LC tissue and established tissue mirror biomarkers in plasma-derived circulating cell-free DNA (cfDNA). The mRNA expression of panel of genes ( The online version contai",https://pubmed.ncbi.nlm.nih.gov/42205214/,PubMed
miR-379-5p promotes ovarian granulosa cell apoptosis in primary ovarian insufficiency by targeting KNDC1 and PEG10.,"Luo Jie, Zhang Fan, Feng Yurong",Frontiers in genetics,2026-05-28,"Primary ovarian insufficiency (POI) is a heterogeneous disorder characterized by premature decline in ovarian function in women of reproductive age, yet its molecular mechanisms remain incompletely elucidated. MicroRNAs (miRNAs), as crucial post-transcriptional regulators, may play a crucial role in the onset and progression of POI. Our research sought to elucidate the regulatory roles and mechani",https://pubmed.ncbi.nlm.nih.gov/42205180/,PubMed
