title,authors,journal,date,abstract,link,source
Short-term mycophenolic acid withdrawal is associated with temporal changes in immune cell composition in mRNA-1273-vaccinated kidney transplant recipients: insights from high-dimensional immune profiling.,"Goerlich Nina, Stich Maximilian, Günter Manina",Frontiers in immunology,2026-09-01,"Short-term mycophenolic acid (MPA) withdrawal is common in kidney transplant recipients with severe infections and was extended during the COVID-19 pandemic to improve vaccine immunogenicity, yet its effects on immune cell dynamics remain mechanistically understudied. We performed high-dimensional flow cytometry combined with unsupervised computational clustering to analyze longitudinal peripheral",https://pubmed.ncbi.nlm.nih.gov/42676352/,PubMed
Translational Challenges and Opportunities in mRNA Cancer Vaccines.,"Jeong Seong Dong, Schrank Benjamin R, Mancuso James J",Cancer discovery,2026-09-01,"Messenger RNA (mRNA) cancer vaccines have progressed rapidly, with personalized platforms such as mRNA-4157 and BNT122 demonstrating feasibility, safety, and durable immune activity but limited scalability. Off-the-shelf constructs, including BNT111 and BNT113, enable faster, broader deployment, yet they risk reduced precision or immune tolerance. These complementary approaches reveal key translat",https://pubmed.ncbi.nlm.nih.gov/42676099/,PubMed
Effects of Mebendazole and Flutamide Combination in Prostate Cancer Cell Lines: a Comprehensive in Vitro Analysis.,"Fattahi Mohammad Reza, Taheri Diana, Inanloo Seyed Hassan","Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",2026-09-01,"The aim of this research was to use Mebendazole as an anticancer candidate to reduce the dose of Flutamide and reduce its side effects. In this in vitro study, we evaluated the effect of Mebendazole, Flutamide and Mebendazole-Flutamide combination therapy in LNCaP, DU145 and PC3 cell lines as representatives of human prostate cancer. The assessment includes scratch-wound assay, colony formation as",https://pubmed.ncbi.nlm.nih.gov/42675957/,PubMed
Characterisation of the Novel HLA-A*32:207 Allele by Sequencing-Based Typing.,"Pajot Thibault, Top Isabelle, Cremoni Marion",HLA,2026-09-01,HLA-A*32:207 differs from HLA-A*32:01:01:01 by one nucleotide substitution in codon 334 in exon 7.,https://pubmed.ncbi.nlm.nih.gov/42675934/,PubMed
Region Specific miRNA-mRNA Networks in Gray and White Matter Lesions of Progressive Multiple Sclerosis.,"Sapra Adya, Rai Nagendra K, Niepokny Timothy D",Annals of clinical and translational neurology,2026-09-01,Multiple sclerosis (MS) is a neurodegenerative demyelinating disease of the central nervous system. This study aimed to identify micro-RNA (miRNA)-mRNA regulatory networks underlying region-specific molecular mechanisms in white matter and gray matter lesions in progressive MS. Global miRNA and mRNA expression profiling were previously performed on white matter and gray matter lesion tissues from ,https://pubmed.ncbi.nlm.nih.gov/42675804/,PubMed
"Long-term adverse effects following COVID-19 vaccination: A comparative analysis of Oxford AstraZeneca, Pfizer-BioNTech, and Moderna vaccines.","Aldali Jehad A, Meo Sultan Ayoub",Medicine,2026-09-01,"During the COVID-19 pandemic, vaccinations were highly beneficial to public health, preventing disease and reducing mortality. This study aimed to investigate long-term adverse clinical symptoms following COVID-19 vaccination with the Oxford AstraZeneca (ChAdOx1 nCoV-19, Oxford), Pfizer-BioNTech (BNT162b2), and Moderna (mRNA-1273) vaccines. In this cross-sectional study, the total number of partic",https://pubmed.ncbi.nlm.nih.gov/42675735/,PubMed
mmVelo: A deep generative model for estimating cell state-dependent dynamics across multiple modalities.,"Nomura Satoshi, Kojima Yasuhiro, Minoura Kodai","Bioinformatics (Oxford, England)",2026-09-01,"Single-cell multiomics reveals regulatory relationships across biological layers but captures only static snapshots, obscuring the dynamics coordinated across modalities. RNA velocity predicts transcriptome dynamics, yet cannot be extended to other layers such as the regulome, leaving chromatin accessibility dynamics unresolved. We developed mmVelo, a deep generative model that infers cell state d",https://pubmed.ncbi.nlm.nih.gov/42675615/,PubMed
Age- and sex-dependent heterogeneity during LPS-induced murine acute lung injury.,"Crispens Chantal, Wilken-Schmitz Annett, Dern Valentin",Immunity & ageing : I & A,2026-09-01,"Acute respiratory distress syndrome (ARDS) remains difficult to treat due to its heterogeneous etiology. In this study, a mouse model of intratracheal lipopolysaccharide (LPS) instillation was used to investigate age- and sex-dependent immune responses. After six hours of LPS exposure and one hour of mechanical ventilation, immune cell subtypes as well as mRNA and protein expression were analyzed.",https://pubmed.ncbi.nlm.nih.gov/42675520/,PubMed
Artificial intelligence for translational personalized neoantigen cancer vaccine development.,"Wei Chun-Yu, Lin Hsuan-Chao, Wu Chang-Jiun",Journal of biomedical science,2026-09-01,"Personalized neoantigen cancer vaccine is a promising strategy for precision immunotherapy by targeting patient-specific and mutation-derived tumor antigens. Early clinical studies have demonstrated the feasibility, safety, and immunogenicity of these vaccines across multiple solid tumors, with encouraging outcomes particularly when combined with immune checkpoint blockade. However, broader clinic",https://pubmed.ncbi.nlm.nih.gov/42675475/,PubMed
Spatial mapping of RNA turnover kinetics in the mouse brain.,"Qiu Qi, Zhang Hongjie, Xia Zijie",Nature neuroscience,2026-09-01,"Gene regulation requires coordinated control of RNA synthesis and degradation, yet measuring RNA turnover across intact tissues remains challenging. Here we present spatial NT-seq, a method that combines transgenesis-free metabolic RNA labeling with in situ chemical recoding on spatial transcriptomics platforms to co-map newly synthesized and pre-existing RNAs. Applying spatial NT-seq to the mouse",https://pubmed.ncbi.nlm.nih.gov/42675226/,PubMed
Hsa_circ_0136682 driving malignancy in breast cancer through the NCL/c-Myc axis.,"Gu Xinyue, Huang Kunhua, Zhang Xuanqi",Cancer gene therapy,2026-09-01,"The dysregulated expression of circular RNAs (circRNAs), newly recognized RNA molecules that are widely found across different species, has been implicated in the progression of several cancers, including breast cancer. Our previous research identified a novel circRNA, hsa_circ_0136682, whose expression pattern and potential function in breast cancer remain to be clarified. This study focuses on u",https://pubmed.ncbi.nlm.nih.gov/42675221/,PubMed
Aloin attenuates high-glucose-induced oxidative and inflammatory damage in renal cells via AMPK/Nrf2 signaling.,"Guangde Huang, Yanan Fang","Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences",2026-09-01,"Diabetic nephropathy (DN) is a leading cause of end-stage renal disease, with proximal tubular injury and oxidative stress playing pivotal roles in its progression. The AMPK-Nrf2 signaling axis is a key regulator of antioxidant defense, but its modulation by Aloin in DN-relevant renal models remains insufficiently characterized. Aloin, a natural anthraquinone glycoside from Aloe species, exhibits ",https://pubmed.ncbi.nlm.nih.gov/42675217/,PubMed
Nanoparticle-enhanced apigenin suppresses androgen receptor signaling and cellular plasticity in LNCaP cells.,"Vicil Sinan, Serttas Riza, Erdogan Suat",Scientific reports,2026-09-01,"Prostate cancer remains highly dependent on androgen receptor (AR) signaling, yet therapeutic escape often emerges through incomplete suppression of AR-driven transcription and activation of compensatory survival pathways. Here, we investigated whether a hyaluronic acid-coated selenium nanoparticle formulation loaded with apigenin (HA-SeNP-Api) could enhance the anti-tumor activity of apigenin in ",https://pubmed.ncbi.nlm.nih.gov/42675095/,PubMed
Unbiased screen of human transcriptome reveals an unexpected role of 3'UTRs in translation initiation.,"Yang Yun, Fan Xiaojuan, Ye Yanwen",Nature communications,2026-09-01,"Although most eukaryotic mRNAs require a 5'-cap for translation initiation, some can also be translated through a poorly studied cap-independent pathway. Here we develop a circRNA-based system and unbiasedly identify more than 10,000 sequences in the human transcriptome that contain Cap-independent Translation Initiators (CiTIs). Surprisingly, most of the identified CiTIs are located in 3'UTRs, wh",https://pubmed.ncbi.nlm.nih.gov/42675053/,PubMed
Analytical Characterization of Polymer Components in Parenteral Primary Packaging.,"Parker Will, Quitmann Dominik, Kuschel Ana",PDA journal of pharmaceutical science and technology,2026-09-01,"Chemically crosslinked elastomers such as butyl rubber (IIR) and its halogenated derivatives (BIIR, CIIR) remain the benchmark for parenteral applications due to their exceptional gas barrier properties, chemical resistance, and long-term stability. Emerging materials, including brominated isobutylene-co-para-methylstyrene and thermoplastic elastomers (e.g., SEBS-based materials), offer architectu",https://pubmed.ncbi.nlm.nih.gov/42674829/,PubMed
CTGF/CCN2 Promotes Invasive Growth in Cervical Cancer Spheroids and Is Associated With Metastatic Cervical Cancer Tissue.,"VON DER Brelie Linda, Kalyoncu Nesibe Gökçe, Gallwas Julia",Cancer genomics & proteomics,2026-09-01,"Metastatic spread defines the lethality of cervical cancer (CC). Connective tissue growth factor (CTGF/CCN2) regulates cell- extracellular matrix interactions but its role in CC is not well-defined. This study investigates the role of CTGF in driving CC invasive growth and its prevalence in patient tissues. CC spheroids (C33A, HT3) were treated with recombinant human CTGF (rhCTGF) or a function-bl",https://pubmed.ncbi.nlm.nih.gov/42674826/,PubMed
Phospholipid-Mimetic Amphiphilic Polyion Complexes Enable Intracellular Oligonucleotide Delivery under Charge-Neutral Conditions.,"Meng Fanlu, Goda Tatsuro",Langmuir : the ACS journal of surfaces and colloids,2026-09-01,"Here, we report phospholipid-mimetic cationic copolymers that facilitate intracellular oligonucleotide delivery at a net charge-neutral polymer/DNA mixing ratio. Conventional nucleic acid delivery nanocarriers are mainly internalized through endocytosis, which often leads to endosomal sequestration and nucleic acid degradation, thereby reducing delivery efficiency and therapeutic efficacy. To addr",https://pubmed.ncbi.nlm.nih.gov/42674477/,PubMed
Nitric oxide-assisted lipid nanoparticles amplify mRNA vaccine responses.,"Liu Zhengwei, Cao Dinglingge, Hou Xucheng",Journal of controlled release : official journal of the Controlled Release Society,2026-09-01,"mRNA vaccines have made substantial clinical advances, yet their full clinical potential can be further expanded by enhancing cytosolic delivery. Here, we integrate a nitric oxide (NO) generator with lipid nanoparticles (LNPs) to boost mRNA delivery efficiency and mRNA-based vaccine efficacy. SM-102/DEA LNPs, the lead formulation, achieved significantly higher mRNA delivery compared with the FDA a",https://pubmed.ncbi.nlm.nih.gov/42674289/,PubMed
Sodium arsenite inhibits ALKBH7 increasing tRNA m,"Li Wanyan, Chen Zeyu, Deng Meiqi",Chemico-biological interactions,2026-09-01,"Arsenic exposure increases the risk of bladder cancer. The proteomic analysis of arsenic treated bladder epithelial cells revealed significantly upregulated NMES1 expression, which was further validated in the bladder epithelium of arsenite-exposed mice and SV-HUC-1 cells treated with 0.5 μM arsenite. NMES1 is a nuclear-encoded accessory protein of mitochondrial respiratory chain complex IV. A dir",https://pubmed.ncbi.nlm.nih.gov/42674266/,PubMed
Methylsulfonylmethane protects against lethal MRSA infection via binding to PIK3CB to increase macrophage phagocytic function and nitric oxide production.,"Liu Haoru, Tang Wanqi, Zheng Hongsheng",Life sciences,2026-09-01,"Sepsis is associated with an extremely high global mortality rate, primarily due to the lack of effective therapeutic strategies for clearing bacteria from infected tissues. However, the underlying mechanisms by which methylsulfonylmethane (MSM) protects mice against lethal doses of MRSA infection remain incompletely understood. RNA sequencing was used to identify transcriptional differences of pe",https://pubmed.ncbi.nlm.nih.gov/42674255/,PubMed
Optimizing RNA yield using deep neural networks coupled to massively parallel screening,"Dinghai Zheng, Justin Hong, Jun Wang",arXiv,2026-09-01,"Messenger RNA (mRNA)-based therapeutics have emerged as a powerful platform for vaccines, protein replacement therapies, and cancer immunotherapy. A critical bottleneck in mRNA development is manufacturing large quantities of RNA economically, as measured by RNA yield emerging from an in vitro transcription (IVT) reaction. However, how promoter-adjacent DNA sequences influence RNA yield remains po",http://arxiv.org/abs/2608.23722v1,arXiv
Energy-efficient codon optimization on thermodynamic hardware,"Andraz Jelincic, Ross C. Walker",arXiv,2026-09-01,"The growing energy demand for computation is becoming increasingly unsustainable. Thermodynamic computing, which harnesses physical thermal fluctuations as a computational resource rather than suppressing them, offers orders-of-magnitude energy savings for probabilistic and combinatorial tasks. Pharmaceutical R&D, heavily reliant on computational optimization and sampling, is a natural application",http://arxiv.org/abs/2606.17327v1,arXiv
