title,authors,journal,date,abstract,link,source
Investigation of the Effects of Perfluorooctane Sulfonic Acid (PFOS) and Perfluorooctanoic Acid (PFOA) Exposure on Interleukin-17 Signalling and Poly(I:C)-Induced Lung Inflammation in BALB/c Mice.,"İnkaya Eda Nur, Karahisar Turan Seçil, Barlas Nurhayat",Basic & clinical pharmacology & toxicology,2026-07-11,"The aim of this study was to investigate the effects of co-exposure to perfluorooctane sulfonic acid (PFOS) and perfluorooctanoic acid (PFOA) on the IL-17-related immune responses and the Poly(I:C)-induced lung inflammation. A total of 66 adult male BALB/c mice were divided into 11 groups, including controls, dose groups receiving PFOS+PFOA (1, 3, 9 mg/kg/day), and combination groups challenged wi",https://pubmed.ncbi.nlm.nih.gov/42432827/,PubMed
Identification of FOXK1 and SEMA7A as key genes associated with m,"Yang Jie, Wu Zhenyu, Dong Ningning",Hereditas,2026-07-11,"Diabetic retinopathy (DR), a serious microvascular complication of diabetes, has a complex pathogenic mechanism that is intricately linked to programmed cell death (PCD) and also to N6-methyladenosine (m In this study, transcriptomic data of DR samples and control samples were obtained from a public database. Meanwhile, m Initially, 3,716 differentially expressed genes between DR and control sampl",https://pubmed.ncbi.nlm.nih.gov/42432759/,PubMed
PRMT5 promotes psoriatic inflammation through mediating dimethylation of p65 in keratinocytes.,"Hu Xiaoru, Tian Yuzi, Hong Qingyu","Molecular medicine (Cambridge, Mass.)",2026-07-11,"Psoriasis is a chronic inflammatory skin disease driven by aberrant keratinocyte activation and immune dysregulation. Protein arginine methyltransferase 5 (PRMT5) was identified as a candidate regulator in psoriatic keratinocytes, yet its function and mechanistic role in psoriasis pathogenesis remain unclear. We analyzed multiple public bulk RNA-sequencing and single-cell RNA-sequencing (scRNA-seq",https://pubmed.ncbi.nlm.nih.gov/42432494/,PubMed
Genetic variation and proliferation-promoting virulence function of thymidine kinase from Paulownia witches' broom phytoplasma.,"Song Chuansheng, Kong Dezhi, Li Xia",BMC plant biology,2026-07-11,"Paulownia witches' broom disease (PaWB), caused by phytoplasmas, results in economic losses. Thymidine kinase (TDK) is a key enzyme in the deoxythymidine triphosphate‌ (dTTP) synthesis pathway of phytoplasma, and dTTP serves as an essential precursor for DNA replication during cell proliferation, but its role in regulating phytoplasma proliferation and virulence remains unclear. To characterize th",https://pubmed.ncbi.nlm.nih.gov/42432474/,PubMed
Half-Life as a Therapeutic Design Axis: Targeting Short-Lived lncRNAs With Antisense Oligonucleotides.,Tani Hidenori,IUBMB life,2026-07-11,"Engineering RNA stability has become a cornerstone of modern therapeutics, almost entirely in one direction: mRNA vaccines established stabilisation of exogenous transcripts as a powerful design axis. The symmetric operation-exploitation of instability in endogenous targets-has been comparatively underexplored. We argue that target RNA half-life is an underused but quantitatively consequential des",https://pubmed.ncbi.nlm.nih.gov/42432430/,PubMed
Efficient in vivo cytosine base editing using virus-like particles with uracil DNA glycosylase inhibition.,"Zhu Junjie, Ding Lin, Liu Kai-Ming",Nature biotechnology,2026-07-11,"Virus-like particles (VLPs) are promising for delivering genome editors, yet the in vivo in vivo efficacy of VLP-mediated cytosine base editing remains limited. Here we identified insufficient inhibition of uracil DNA glycosylases as the underlying mechanism of low cytosine base editor (CBE) editing efficiencies in vivo. We engineered a previously reported CBE, transformer base editor (tBE), and d",https://pubmed.ncbi.nlm.nih.gov/42432197/,PubMed
Establishment and functional analysis of an inducible Apoc2-knockout mouse model to investigate the role of Apoc2 in normal hematopoiesis.,"Zhang Xiaochen, Chandwani Ritu, Pospiech Mateusz",Lab animal,2026-07-11,"Apolipoprotein C2 (APOC2) has been identified as a potential therapeutic target for acute myeloid leukemia, but its impact on normal hematopoiesis remains unclear. Here we generated a global inducible Apoc2 knockout (KO) mouse model by breeding R26-CreERT2 mice with mice homozygous for Apoc2 lox sites (Apoc2",https://pubmed.ncbi.nlm.nih.gov/42432158/,PubMed
Integrative multi-omics analysis of DNA methylome and transcriptome in a tyrosine kinase inhibitor LPM4870108-induced rat model of obesity.,"Yuan Baiyang, Jin Xuan, Li Chunmei",International journal of obesity (2005),2026-07-11,"Obesity is a serious multifactorial disease that involves epigenetic mechanisms like DNA methylation. Tyrosine kinase inhibitors (TKIs), originally synthesized and approved for cancer therapy, have recently been linked to the regulation of obesity. We evaluated whether LPM4870108, a small-molecule TKI with antitumor efficacy, contributes to obesity via DNA methylation. LPM4870108 (TKI) was adminis",https://pubmed.ncbi.nlm.nih.gov/42432101/,PubMed
Stress-coping phenotypes shape adipose tissue function and plasticity and modulate metabolic resilience.,"Mehta Saumya Kishor, Ben-Shachar Michaella, Govindaraj Sharmila",Translational psychiatry,2026-07-11,"Our previous findings demonstrated that stress resilience confers metabolic protection in high-fat diet (HFD)-fed mice. Recognizing the central role of adipose tissue in the pathogenesis of obesity comorbidities, this study aimed to define how stress resilience shapes adipose tissue function. Stress-resilient (Dominant, Dom) and stress-vulnerable (Submissive, Sub) mice were examined under standard",https://pubmed.ncbi.nlm.nih.gov/42431893/,PubMed
MND1 regulates PANoptosis and stemness of lung adenocarcinoma cells by stabilizing RCOR2 mRNA.,"Ouyang Lianlian, Tang Xingjie, Jiang Shiyao",Cell death & disease,2026-07-11,"PANoptosis is an inflammatory programmed cell death mechanism that depends on the PANoptosome complex, which integrates hallmark features of apoptosis, necroptosis, and pyroptosis. Meiotic nuclear division protein 1 (MND1), a meiosis-specific protein, primarily participates in homologous chromosome pairing and DNA double-strand break repair. However, the precise role of MND1 in regulating PANoptos",https://pubmed.ncbi.nlm.nih.gov/42431870/,PubMed
An H3K18la-ALKBH5-Runx2-LDHA positive feedback loop promotes vascular calcification in the osteogenic phenotypic transition of vascular smooth muscle cells.,"Deng Yifan, Chen Jing, Sun Qinyu",Cellular signalling,2026-07-11,"Osteogenic phenotypic transition of vascular smooth muscle cells (VSMCs) is the core pathological event underlying the initiation and progression of vascular calcification (VC). Runt-related transcription factor 2 (Runx2), a master osteogenic transcription factor, induces the transdifferentiation of VSMCs toward an osteoblast-like phenotype, which subsequently facilitates calcium salt deposition a",https://pubmed.ncbi.nlm.nih.gov/42431494/,PubMed
Fisetin Attenuates CCl,"Sarabandi Sahel, Cordani Marco, Allameh Abdolamir",European journal of pharmacology,2026-07-11,"Liver fibrosis arises from a sustained imbalance between oxidative stress, cell death, and matrix deposition. Using the carbon tetrachloride (CCl",https://pubmed.ncbi.nlm.nih.gov/42431339/,PubMed
Developmental timing of repeated dexamethasone exposure determines growth and modulates metabolic responsiveness in adulthood.,"de Moraes Silveira Peixe Carolina, Evangelista-Silva Paulo Henrique, Giusti-Paiva Alexandre",Biochemical pharmacology,2026-07-11,"Dexamethasone (DEX), a synthetic glucocorticoid (GC) widely used for its anti-inflammatory and immunosuppressive properties, is associated with adverse metabolic and diabetogenic effects. Whether early-life exposure to DEX modifies metabolic disturbances induced by subsequent treatments remains unclear. We investigated this by subjecting male Wistar rats to up to three treatment cycles initiated o",https://pubmed.ncbi.nlm.nih.gov/42431278/,PubMed
