title,authors,journal,date,abstract,link,source
Development of Novel mRNA Classifiers to Stratify Preoperative Thyroid Tumor Risk.,"Barrett Thomas F, Jama Mohamed, Alshalalfa Mohammed",Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,2026-07-10,"Develop a preoperative risk classifier for guiding the extent of surgery in differentiated thyroid carcinomas (DTCs) under 4 cm. In silico study, validation with retrospective cohort. Genomic data repositories, academic tertiary medical center. Prognostic transcriptional groups and American Thyroid Association (ATA) risk groups in The Cancer Genome Atlas (TCGA) were used to create novel Clinico-TR",https://pubmed.ncbi.nlm.nih.gov/42429096/,PubMed
T‑box transcription factor 15 regulated by methyltransferase‑like 3‑mediated N6‑methyladenosine modification promotes immune escape and progression of gastric cancer by activating matrix metalloproteinase 14 transcription.,"Hu Hongsai, He Rong, Liu Minji",International journal of oncology,2026-07-10,"The present study aimed to investigate the involvement of T‑box transcription factor 15 (TBX15) in the immune evasion by gastric cancer (GC) cells, as well as the molecular pathways that regulate TBX15 upstream and downstream. GC and paracancerous tissues were collected to verify the expression of TBX15, matrix metalloproteinase 14 (MMP14) and methyltransferase‑like 3 (METTL3) using reverse transc",https://pubmed.ncbi.nlm.nih.gov/42429055/,PubMed
Enhancing machine learning-based binder design with high-throughput screening: A comparison of mRNA and yeast display technologies.,"Yao Zhiyuan, Metts McGuire, Huber Avery K",Protein science : a publication of the Protein Society,2026-07-10,"Recent advances in machine learning (ML)-based protein design methods have enabled the rapid in silico generation of large libraries of miniprotein binders with minimal manual input. While computational design capacity has scaled rapidly, experimental validation methods have lagged, creating a bottleneck in binder discovery pipelines. Here, we apply mRNA display to screen an ML-designed miniprotei",https://pubmed.ncbi.nlm.nih.gov/42429042/,PubMed
CAR-T Cell Therapy: Manufacturing Platforms and Clinical Consequences.,"Bach Duc-Hiep, Nguyen Thanh Liem",Human gene therapy,2026-07-10,"Chimeric antigen receptor (CAR) T-cell therapy has transformed hematological cancer care, yet variability in efficacy, durability, and safety cannot be explained solely by antigen selection or patient factors. We propose that manufacturing platforms are active biological determinants of outcome. Viral vectors, used in all licensed products, provide stable genomic integration and durable expression",https://pubmed.ncbi.nlm.nih.gov/42428992/,PubMed
Dietary DHA-Enriched Phosphatidylcholine Enhances Muscle Health and Intestinal Barrier Function by Relieving Apoptosis and Oxidative Stress in Largemouth Bass (,"Chen Qiang, Ren Tianli, Xu Jinqi",Aquaculture nutrition,2026-07-10,"Phosphatidylcholine (PC) is critical for aquatic feed, but the physiological functions of marine-derived PC remain unclear. This study explored the regulatory role of Atlantic herring (",https://pubmed.ncbi.nlm.nih.gov/42428803/,PubMed
Dysregulated neuronal mRNA transport and translation in FTD/ALS.,"Craig Emma J, Ryan Veronica H",NPJ dementia,2026-07-10,"Frontotemporal dementia (FTD) and amyotrophic lateral sclerosis (ALS) are fatal, co-occurring neurodegenerative disorders. Dysregulation of mRNA metabolism, transport, and local translation is a significant mechanism contributing to FTD/ALS. Here, we review the processes of neuronal RNA transport and translation, their disruption in FTD/ALS, and mechanistic interplay between the two. Finally, we d",https://pubmed.ncbi.nlm.nih.gov/42428795/,PubMed
Analytical Ultracentrifugation in Aotearoa: A Brief History of the Technique and its Place Among Other Tools Used to Investigate Biomolecular Interactions.,"Turk Liam S, Tillett Zachary D, McKenzie Rebecca E",Journal of the Royal Society of New Zealand,2026-07-10,Analytical ultracentrifugation (AUC) is a powerful and versatile tool for studying biomolecular interactions. The purpose of this commentary is to provide foundational knowledge of the technique and its uses through the presentation of two case studies in which AUC provides key data to answer research questions. The first case study concerns a practical formulation problem associated with mRNA-bas,https://pubmed.ncbi.nlm.nih.gov/42428557/,PubMed
Early Mucosal Type II Interferon Limits SARS-CoV-2 Replication in Humans.,"Winnett Alexander Viloria, Tabachnikova Alexandra, Chen Jonathan",medRxiv : the preprint server for health sciences,2026-07-10,"COVID-19 vaccines markedly reduce disease severity, but their ability to block infection and transmission remains limited and variable.  Using a unique study design with temporally-dense, paired sampling of the oral cavity, nasal cavity and oropharynx from the onset of naturally acquired human SARS-CoV-2 infection, we demonstrate that Type I IFN responses are initiated synchronously in the upper r",https://pubmed.ncbi.nlm.nih.gov/42428083/,PubMed
Air pollutant multiomics improves functional annotation of SNPs associated with lung disease.,"Townsend Hope A, Sasse Sarah K, Liao Shu Yi",medRxiv : the preprint server for health sciences,2026-07-10,"Particulate matter exposure has a direct impact on airways diseases, such as asthma and chronic obstructive pulmonary disease (COPD), and over the next 30 years, rising particulate air pollution is expected to increasingly affect disease outcomes. We identified transcriptional mechanisms of particulate exposure in the airway epithelium that connect with disease risk using genetics and multiomics. ",https://pubmed.ncbi.nlm.nih.gov/42428065/,PubMed
MERLIN-SUITE: Probabilistic modular GRN inference from multi-omics data integrating regulatory priors and transcription factor activity.,"Hazra Suvojit, Kotvanova Marina, Gimse Kirstan",ArXiv,2026-07-10,Accurately reconstructing gene regulatory networks (GRNs) is essential for understanding transcriptional processes in development and disease. MERLIN-SUITE (https://github.com/Roy-lab/MERLIN-SUITE) represents a collection of algorithmic extensions based on MERLIN (Modular regulatory network learning with per gene information) a probabilistic framework that infers gene-specific and module-specific ,https://pubmed.ncbi.nlm.nih.gov/42428020/,PubMed
