title,authors,journal,date,abstract,link,source
Tricin Inhibits Human Osteosarcoma Cell Metastasis via Suppression of ZNF503 and the PI3K-PIP3-Akt Pathway.,"Chou Chia-Hsuan, Yang Jia-Sin, Chen Pei-Ni",Drug development research,2026-08-25,"Osteosarcoma is the most common primary malignant bone tumor and is associated with a high mortality rate due to its pronounced metastatic potential. Although tricin has been proposed as a chemosensitizer in various malignancies, its anti-metastatic effect in osteosarcoma remains poorly characterized. This study investigated whether tricin suppresses metastasis in human osteosarcoma cells and expl",https://pubmed.ncbi.nlm.nih.gov/42638601/,PubMed
The Role of IGF2BP3-Mediated Immune Response Activation in Enhancing Immunotherapy of Koumine for Gastric Cancer.,"Hongqiang Qiu, Hailing Lin, Luqi Lou",Cancer science,2026-08-25,"Resistance to immune checkpoint blockade in gastric cancer often arises from defective antigen presentation due to MHC-I downregulation, yet strategies to restore MHC-I expression remain limited. Here, using the natural alkaloid koumine as a chemical probe, we identified IGF2BP3 as a druggable regulator of MHC-I antigen presentation. Network pharmacology, proteomics, surface plasmon resonance, and",https://pubmed.ncbi.nlm.nih.gov/42638562/,PubMed
"ALG-020572, an Antisense Oligonucleotide for the Treatment of Chronic Hepatitis B Virus Infection Discontinued for Drug-Induced Liver Injury.","Agarwal Kosh, Forton Dan, Zen Yoh",Journal of viral hepatitis,2026-08-25,"Current treatment options for chronic HBV infection are suboptimal in that they fail to suppress HBsAg levels. ALG-020572 is an antisense oligonucleotide designed to reduce viral protein synthesis through degradation of HBV mRNA. ALG-020572-401 was a double-blind, randomized, placebo-controlled trial consisting of two parts. Part 1 (single-ascending doses) evaluated the pharmacokinetics, safety an",https://pubmed.ncbi.nlm.nih.gov/42638560/,PubMed
Association of Combined MET/HGF Expression With the Colorectal Cancer Immune Microenvironment: An Integrated Immunohistochemical and Multi-Database Analysis.,"Luo Shuai, Guo Hongwei, Li Xiangli",Cancer medicine,2026-08-25,To validate c-MET protein expression in colorectal cancer (CRC) and assess whether joint MET and hepatocyte growth factor (HGF) transcript expression provides descriptive information on tumor microenvironment features beyond MET alone. c-MET protein expression was evaluated by immunohistochemistry in 51 paired CRC and adjacent tissues. The Cancer Genome Atlas (TCGA) and TNMplot datasets assessed M,https://pubmed.ncbi.nlm.nih.gov/42638340/,PubMed
Light-Mediated Transfection of the Ocular Surface Using an Ophthalmic YAG Laser.,"Byun Junho, Wels Mike, Vanmeerhaeghe Bernd",Advanced healthcare materials,2026-08-25,"Diseases of the ocular surface, such as dry eye disease (DED), can significantly impair vision and reduce the quality of life. Current treatments rely primarily on conventional approaches, including artificial tears, antibiotics, and anti-inflammatory drugs. However, advances in nucleic acid (NA) therapeutics have opened new avenues for treating ocular surface disorders, with growing interest in s",https://pubmed.ncbi.nlm.nih.gov/42638266/,PubMed
Exposure to the Bt Cry1Ac toxin disrupts sex pheromone signaling and reduces reproductive fitness in Plutella xylostella.,"Yao Shuangyan, Chang Zhu, Zhang Yihan",Pest management science,2026-08-25,"Plutella xylostella presents a significant threat to Cruciferae crops worldwide, primarily due to damage from its caterpillars. This pest not only causes substantial economic losses but has also developed resistance to many conventional insecticides, prompting the need for innovative control strategies. This study investigates the effects of Bacillus thuringiensis (Bt) Cry1Ac on P. xylostella, spe",https://pubmed.ncbi.nlm.nih.gov/42638154/,PubMed
[Responsive DNA origami for mRNA delivery].,"Zhao Ji, Wang Jiaming, Song Jie",Sheng wu gong cheng xue bao = Chinese journal of biotechnology,2026-08-25,"mRNA technology has emerged as a crucial tool in fields including vaccinology, gene therapy, and regenerative medicine. However, mRNA is susceptible to rapid degradation by ribonucleases (RNases) in physiological environments, and its large molecular weight and negative charge hinder its transmembrane delivery into cells. Existing delivery systems face key bottlenecks such as insufficient serum st",https://pubmed.ncbi.nlm.nih.gov/42638062/,PubMed
[Effects of soybean fermented bioactive peptides on intestinal health of bullfrogs].,"Ren Jianxiao, Lv Yuanqiang, Liao Jun",Sheng wu gong cheng xue bao = Chinese journal of biotechnology,2026-08-25,"To address the challenges of antibiotic overuse and high feed costs in bullfrog aquaculture, this study aimed to systematically evaluate the effects of soybean fermented bioactive peptides (SFP) as a functional feed additive on the growth performance and intestinal health of bullfrogs ( 为应对牛蛙养殖中存在的抗生素滥用及饲料成本压力等问题，本研究旨在系统评估生物发酵大豆活性肽(soybean fermented bioactive peptides, SFP)作为功能性饲料添加剂对牛蛙生长性能及肠道健康的调",https://pubmed.ncbi.nlm.nih.gov/42638059/,PubMed
Weighted Gene Co-Expression Network Analysis and Machine Learning Reveal that USP1 Drives Lipid Metabolism and Macrophage Polarization in Cervical Cancer Cells.,"Wang Xiaojuan, Wang Fang, Yang Wenjing","Reproductive sciences (Thousand Oaks, Calif.)",2026-08-25,"Cervical cancer is a leading preventable cause of cancer morbidity and mortality globally. Previous studies have indicated that dysregulation of the ubiquitin-proteasome system participates in lipid metabolism and cervical cancer progression. However, the role and mechanism of deubiquitinase ubiquitin-specific protease 1 (USP1) in cervical cancer are still unclear. The cervical cancer transcriptom",https://pubmed.ncbi.nlm.nih.gov/42638028/,PubMed
Standardized Workflow for Long Noncoding RNA Prediction and Expression Profiling in Wheat Under Stem Rust Stress.,"Jyothsna S, Alagu Manickavelu","Methods in molecular biology (Clifton, N.J.)",2026-08-25,"Long noncoding RNAs (lncRNAs), typically over 200 nucleotides in length, with low or no coding capacity, possess significant regulatory roles in plant growth, development, and stress responses by interacting with DNAs, proteins, and other RNAs. This chapter outlines a comprehensive protocol for identifying and functionally characterizing wheat lncRNAs under stem rust infection. The workflow includ",https://pubmed.ncbi.nlm.nih.gov/42638015/,PubMed
"Elevated water temperatures enhance 2,4,6-trinitrotoluene induced stress response of carbonyl reductase in blue mussels (Mytilus edulis): Another environmental impact of climate change?","Lindemeyer Jacqueline, Schuster Romina Marietta, Hartmann Lili",Archives of toxicology,2026-08-25,"Toxic explosives leaking from submerged munitions appear as an emerging marine pollutant in recent years. The nitroaromatic compound 2,4,6-trinitrotoluene (TNT) is of particular interest in this context. TNT poses a threat to marine environments and organisms. Previous studies showed that TNT and its metabolites are incorporated in mussel tissue thereby causing adverse effects through cellular oxi",https://pubmed.ncbi.nlm.nih.gov/42637956/,PubMed
Microglial TLR7 contributes to traumatic brain injury-induced neuroinflammation in mice.,"Du Yi-Teng, Ma Xiao-Li, Gao Shu-Hui",Acta pharmacologica Sinica,2026-08-25,"Neuroinflammation driven by activated microglia is an important component of secondary injury after traumatic brain injury (TBI), but the underlying molecular mechanisms remain incompletely understood. Here, we investigated the role of microglial Toll-like receptor 7 (TLR7) in TBI-induced neuroinflammation and evaluated the therapeutic effect of the TLR7-targeting compound Enpatoran (M5049). Analy",https://pubmed.ncbi.nlm.nih.gov/42637929/,PubMed
The cardiac protective human circular RNA circKLHL20_009 sponges miR-31-5p to ameliorate myocardial hypertrophy and fibrosis through suppressing β-catenin signaling.,"Wen Yi-Hong, Jiang Jia-Xue, Dong Wen-Yan",Acta pharmacologica Sinica,2026-08-25,"Circular RNAs (circRNAs) participate in the process of pathological cardiac remodeling; however, the roles of dysregulated circRNAs remain unclear. In this study, we revealed that the expression of the circRNA circKLHL20_009 was significantly upregulated in the myocardium of patients with heart failure (HF) and in human cardiomyocytes treated with angiotensin II (Ang II). In vivo, the cardiac-spec",https://pubmed.ncbi.nlm.nih.gov/42637927/,PubMed
HOXC9 transcriptionally activates NRP1 to promote cell malignant progression and immune evasion in colorectal cancer.,"Qiu Xiaofeng, Hu Sheng, Liao Bingling",Molecular genetics and genomics : MGG,2026-08-25,Transcription factor homeobox C9 (HOXC9) has been reported to be up-regulated and associated with poor prognosis in colorectal cancer (CRC). This study focused on the regulatory role and molecular mechanism of HOXC9 in CRC progression and immune response. Differential analysis from the GSE25070 dataset was performed. The mRNA and protein levels of target genes were measured using qPCR and Western ,https://pubmed.ncbi.nlm.nih.gov/42637860/,PubMed
Microbial-Metabolite Signatures Are Associated With Glucocorticoid Responsiveness in Chronic Rhinosinusitis With Nasal Polyps.,"Zhang Ying-Ying, Ding Xin-Yu, Lu Mei-Ping",International forum of allergy & rhinology,2026-08-25,"Patients with chronic rhinosinusitis with nasal polyps (CRSwNP) exhibit heterogeneous responses to oral glucocorticoids (GCs), but the biological basis of this variability remains unclear. To identify gut microbiome‒plasma metabolomic signatures associated with GC responsiveness in CRSwNP patients and to compare their predictive value with that of conventional clinical indicators. Patients with CR",https://pubmed.ncbi.nlm.nih.gov/42637687/,PubMed
Revisiting the in vivo functions of coilin in mice: Requirement for snRNA modifications and formation of novel condensates in elongating spermatids.,"Ichii Miyu, Ishigami Yuma, Yao Xiao","RNA (New York, N.Y.)",2026-08-25,"Cajal bodies (CBs), first identified in the early 20th century, are classic nuclear structures organized primarily by the protein coilin. Although CBs have long been implicated in snRNA modification and maturation, their precise roles in mice remain unclear. Here, we revisit the functions of CBs by using genome editing to generate mice that lack nearly the entire coilin protein, retaining only the",https://pubmed.ncbi.nlm.nih.gov/42637518/,PubMed
