title,authors,journal,date,abstract,link,source
Mutant KRAS-m,"Chen Danyu, Huang Pingmei, Tao Ruizhi","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2026-09-10,"The interaction between gene mutations and epitranscriptomic alterations in colorectal cancer (CRC) remains poorly understood. Here, we identified that KRAS mutations, present in ∼40%-50% of CRC patients, act as driver mutations mediating an aberrant epitranscriptome. In human CRC patients, mutant KRAS correlates with increased m",https://pubmed.ncbi.nlm.nih.gov/42717493/,PubMed
Machine learning-assisted mRNA vaccine pharmacovigilance: a systematic review of multi-source real-world data.,"He YuLong, Mao Yan, Wang XinYu",BMC medical informatics and decision making,2026-09-10,"The rapid deployment of mRNA vaccines during the COVID-19 pandemic exposed limitations in traditional pharmacovigilance systems, including delayed reporting, high underreporting rates, and inability to calculate true incidence. Machine learning (ML) offers new pathways to overcome these challenges by integrating multi-source real-world data. We systematically reviewed English-language studies from",https://pubmed.ncbi.nlm.nih.gov/42717339/,PubMed
Spray Freeze Drying for Solid Formulations of RNA Lipid Nanoparticles.,"Arte Kinnari Santosh, Sapkota Rachana, Patil Chanakya D",AAPS PharmSciTech,2026-09-10,"Spray-freeze drying (SFD) is a promising drying technique for stabilizing RNA lipid nanoparticles (RNA-LNPs) by converting them into solid-state formulations. This study examined the impact of the SFD process and the widely utilized stabilizing disaccharides, such as sucrose and trehalose, on the major properties (e.g. particle size, encapsulation efficiency) of RNA-LNPs post drying. Various proce",https://pubmed.ncbi.nlm.nih.gov/42717177/,PubMed
Inhaled siRNA therapy targeting RAGE for pulmonary inflammation: a first-in-human randomized trial.,"O'Carroll Mark, Kasahara David, Huetsch John",Nature medicine,2026-09-10,"The receptor for advanced glycation end products (RAGE), a multiligand receptor that is abundantly expressed by lung alveolar type-1 cells, amplifies and sustains the innate immune response in a variety of pulmonary disorders, including asthma and chronic obstructive pulmonary disease. Here we developed ARO-RAGE, an inhaled, lung-epithelium-targeted siRNA directed against pulmonary RAGE mRNA. Prec",https://pubmed.ncbi.nlm.nih.gov/42717034/,PubMed
KRAS/ERK2-driven stabilization of AARS1 reprograms tumor metabolism and confers Sorafenib resistance in lung adenocarcinoma.,"Hu Wenxuan, Chen Zhike, Yang Jian",Cell death and differentiation,2026-09-10,"KRAS is the most frequently mutated oncogene in human cancers, and its G12C variant is highly prevalent in lung adenocarcinoma (LUAD) and predicts poor clinical outcomes. However, the metabolic mechanisms underlying KRAS-driven malignancy and therapeutic resistance remain incompletely understood. Here, we identify alanyl-tRNA synthetase 1 (AARS1) as a previously unrecognized metabolic effector of ",https://pubmed.ncbi.nlm.nih.gov/42716955/,PubMed
Hydrophobic Compounds in the Paeonia suffruticosa Root Cortex Reduce Lipid Accumulation in Adipocytes and the Livers of Obese ob/ob Mice.,"Sato Tatsuki, Fujii Airi, Kato Satsuki",Biological & pharmaceutical bulletin,2026-09-10,"Insulin plays a critical role in the regulation of lipid and carbohydrate metabolism in the liver, muscle, and adipose tissue via its receptor. The root cortex of Paeonia suffruticosa (Paeoniaceae) has been used as a crude drug, Botanpi, in several formulae of traditional Japanese (Kampo) medicines, such as Hachimijiogan, to treat type 2 diabetes mellitus (DM). We previously isolated constituents ",https://pubmed.ncbi.nlm.nih.gov/42716794/,PubMed
Proximity labeling puts ZFP36L1 as central hub for posttranscriptional regulation networks in T cells.,"Jurgens Anouk P, Popović Branka, van Alphen Floris Pj",Life science alliance,2026-09-10,"Effective T cell responses against pathogens require a rapid yet tightly controlled remodeling of the proteome, and RNA binding proteins (RBPs) are key in this process. For instance, the RBP ZFP36L1 prevents excessive protein production and thereby limits immunopathology. ZFP36L1 is primarily known to mediate mRNA decay, but it can also regulate other processes. How its mode of action relates to i",https://pubmed.ncbi.nlm.nih.gov/42716788/,PubMed
Peri-Implantitis-Associated Bacteria Activate the STAT3 Pathway in Oral Epithelial Cells.,"Arce Marion, Espinoza-Arrue Joaquin, Sansores-España Daniel",Journal of clinical periodontology,2026-09-10,"To assess STAT3 activation in peri-implantitis tissues and to evaluate the STAT3-associated response of oral epithelial cells (OECs) to peri-implantitis-associated bacteria. In this cross-sectional study, gingival tissue biopsies were obtained from subjects with gingival health, periodontitis and peri-implantitis. pSTAT3/STAT3 and STAT3 pathway-dependent mRNA levels were analysed, and pSTAT3-posit",https://pubmed.ncbi.nlm.nih.gov/42716530/,PubMed
Orphan C/D box snoRNAs are associated with fear-related memory processes in mice.,"Leighton Laura J, Zhao Qiongyi, Marshall Paul R",Neurobiology of learning and memory,2026-09-10,"C/D box small nucleolar RNAs (snoRNAs) comprise a class of small noncoding RNAs with important regulatory effects on cellular RNA function. Although it is well established that snoRNAs coordinate the post-transcriptional modification of pre-ribosomal and small nuclear RNAs by 2'-O-methylation, which leads to enhanced RNA stability, whether they are involved in memory-related processes remains rela",https://pubmed.ncbi.nlm.nih.gov/42716422/,PubMed
"Bufalin Targets CENPA-modulated Glycolysis via PI3K/AKT in Hepatocellular Carcinoma: A Bioinformatics, In Vitro and Preliminary In Vivo Evidence.","Saeed Muhammad Muddasar, Wei Tianfu, Iqbal Muhammad Khalid",Molecular and cellular endocrinology,2026-09-10,"Hepatocellular carcinoma (HCC) remains a substantial therapeutic challenge because of its high recurrence rate and resistance to conventional therapies, necessitating the exploration of novel approaches. A crucial aspect of cancer metabolism is the Warburg effect, which promotes tumor progression by increasing glycolysis. Bufalin is a key component of a natural product derived from the venom of to",https://pubmed.ncbi.nlm.nih.gov/42716419/,PubMed
IGF2BP2 stabilizes SLC39A14 mRNA via m6A modification to promote ferroptosis in cerebral ischemia-reperfusion injury.,"Wang Haining, Han Baichao, Xu Chen",Archives of biochemistry and biophysics,2026-09-10,"Cerebral ischemia-reperfusion injury (CIRI) is a leading cause of neurological disability with few effective therapeutic strategies, and ferroptosis has been proven to participate in CIRI progression while its upstream regulatory mechanisms remain poorly defined. Herein, we performed transcriptomic analysis on GSE162072 and GSE58720 datasets, and constructed mouse tMCAO/R and neuronal OGD/R models",https://pubmed.ncbi.nlm.nih.gov/42716363/,PubMed
In vitro transcription for RNA vaccines and therapeutics: a quality-by-design perspective on manufacturability.,"Nair Adithya, Kis Zoltán",Biotechnology advances,2026-09-10,"In vitro transcription (IVT) is the core unit operation for the synthesis of the drug substance (DS) in RNA-based vaccines and therapeutics. As RNA medicines mature into a clinically validated product class, the central challenge is shifting from clinical feasibility to manufacturability. This review reframes IVT as a coupled, interaction-driven synthesis process in which product quality and proce",https://pubmed.ncbi.nlm.nih.gov/42716352/,PubMed
Effector-cell-engaging bispecific antibodies for cancer therapeutics: engineering precision immunity.,"Gholap Amol D, Khuspe Pankaj R, Morankar Darshana",Drug discovery today,2026-09-10,"The bispecific antibody (bsAb) is a novel immune therapeutic platform that consists of a single molecule that simultaneously binds two distinct antigens, tumor-associated antigens and immune effector cells, to enhance the targeted killing of tumor cells. bsAbs can target T cells and natural killer (NK) cells or macrophages through receptors such as CD3, CD16 or CD47 and generate strong, MHC-indepe",https://pubmed.ncbi.nlm.nih.gov/42716205/,PubMed
The Pharmacological Material Basis and Potential Mechanism of Qingre Bawei Capsule in Alleviating Acute Lung Injury Induced by LPS in Mice.,"Shi Hanling, Zhang Yuyao, You Wanying",Journal of ethnopharmacology,2026-09-10,"Qingre Bawei capsules (QRBW), derived from the traditional Mongolian medicine Erhemu-8 (-8), have been clinically used to treat respiratory infections associated with lung heat syndrome, including pneumonia, bronchitis, influenza, and acute lung injury (ALI). However, its specific effects and underlying mechanisms in ALI remain unclear. This study aimed to evaluate the therapeutic effects of QRBW ",https://pubmed.ncbi.nlm.nih.gov/42716195/,PubMed
Exosomal METTL16 from mesenchymal stem cells promotes malignant progression and M2 macrophage polarization in acute myeloid leukemia via IGF2BP2-dependent GPX1 m6A modification.,"Shang Zhen, Zhou Mi, Yan Sijia",Biochimica et biophysica acta. Molecular basis of disease,2026-09-10,"Acute myeloid leukemia (AML) progression relies on complex crosstalk with the bone marrow microenvironment, particularly M2 macrophage polarization. Exosomes mediate intercellular communication, while N6-methyladenosine (m6A) modifications drive tumor malignancy. However, the role of exosomal m6A regulators in coordinating AML progression and macrophage polarization remains unclear. Integrated bio",https://pubmed.ncbi.nlm.nih.gov/42716141/,PubMed
KAT2B epigenetically activates GSTZ1 via H3K9ac to suppress proliferation and stemness and enhance ferroptosis in oral squamous cell carcinoma.,"Sha Tong, Jiao Kun, Li Jianing",Biochemical pharmacology,2026-09-10,"Oral squamous cell carcinoma (OSCC) is an aggressive head and neck malignancy. Lysine acetyltransferase 2B (KAT2B) exerts tumor-suppressive functions in various cancers, yet its function in OSCC remains unclear. Through integrative analysis of five public transcriptomic datasets with validation in clinical tissues and cell lines, we identified a consistent reduction of KAT2B expression in OSCC. Fu",https://pubmed.ncbi.nlm.nih.gov/42716139/,PubMed
MEX3A mediates DHRS3 instability to relieve G0/G1 arrest and facilitate hepatocellular carcinoma tumorigenesis and progression.,"Li Weihan, Mo Shanshan, Zhang Wei",Biochemical pharmacology,2026-09-10,"Hepatocellular carcinoma (HCC), the most prevalent form of liver cancer, has a high incidence and mortality rate. This study aimed to elucidate the function of MEX3A in HCC and explore its underlying mechanisms. The expression of MEX3A was assessed in a DEN/CCl",https://pubmed.ncbi.nlm.nih.gov/42716134/,PubMed
