title,authors,journal,date,abstract,link,source
AI-based prediction of aspirin-exacerbated respiratory disease using nasal epithelial mRNA expression profiles.,"Modena Brian D, Bagci Mehmet Furkan, Hoyte Flavia",The journal of allergy and clinical immunology. Global,2026-07-06,"Aspirin-exacerbated respiratory disease (AERD) is a distinct asthma endotype marked by asthma, nasal polyposis, and respiratory reactions to COX-1 inhibitors. Early and accurate identification of AERD remains clinically challenging. We sought to develop and externally validate an artificial intelligence (AI)-based diagnostic model that uses nasal epithelial mRNA expression profiles to accurately i",https://pubmed.ncbi.nlm.nih.gov/42405352/,PubMed
Variation in skin barrier function throughout smoltification in Atlantic salmon (,"Doyle Darragh, Gomes Ana Silva, Sundell Kristina",Frontiers in physiology,2026-07-06,"Smoltification involves distinct morphological, physiological and behavioral changes in Atlantic salmon, yet skin barrier function has not been functionally assessed throughout this transition. We measured electrophysiological parameters at three life stages - parr, smolt, and post-smolt - to assess changes in skin permeability and transport capacity. Parr skin showed significantly lower transepit",https://pubmed.ncbi.nlm.nih.gov/42405341/,PubMed
A DNA-guided prokaryotic argonaute enables programmable RNA cleavage for sequencing and quality control of ,"Liu Lizhi, Hunt Eric A, Wolf Eric J",Molecular therapy. Nucleic acids,2026-07-06,"Argonaute (Ago) endonucleases are ubiquitous across all domains of life and, like Cas nucleases, can be programmed by guide oligonucleotides to target and cleave specific nucleic acid sequences. However, unlike Cas enzymes, Agos are not restricted by sequence requirements such as protospacer adjacent motifs (PAMs), enhancing their utility as molecular tools. This study demonstrates diverse applica",https://pubmed.ncbi.nlm.nih.gov/42405280/,PubMed
Enhancing protein expression in humans through codon optimization with transformer and contrastive learning.,"Kim Juseong, Kim Jeongmu, Lee Jae-Wook",Molecular therapy. Nucleic acids,2026-07-06,"Following the success of COVID-19 vaccines and therapies, mRNA-based therapeutics have attracted significant attention. Codon optimization is crucial for improving translation efficiency and mRNA stability, both of which are necessary for developing effective mRNA vaccines and drugs. Traditional approaches often rely on codon usage tables and other frequency-based heuristics, which neglect sequenc",https://pubmed.ncbi.nlm.nih.gov/42405277/,PubMed
The landscape of variants in pre-mRNA-processing factor genes in an Irish cohort.,"Finnegan Laura K, Ridgeway Anna R, Carrigan Matthew",Genetics in medicine open,2026-07-06,"Variants in pre-messenger RNA (mRNA) processing genes account for ∼15% to 20% of autosomal dominant retinitis pigmentosa, causing severe vision loss. We provide an in-depth characterization of pre-mRNA-processing variants in the population, with a focus on genotype-phenotype correlations. Participants underwent next-generation sequencing, variant filtering and interpretation. Impact(s) on protein ",https://pubmed.ncbi.nlm.nih.gov/42405195/,PubMed
Association of wheatgrass (,"Dasgupta Anuraag, Reddy Bandi Moneesha, Banerjee Sarnabi",3 Biotech,2026-07-06,"Acute Leukemia is a haematological cancer accounting for around 25% and 80% of both patient populations. Some immunotherapeutic strategies that are non-toxic plant-based products should be discovered. The current strategies used to reduce cancer cells in the body, such as cancer chemotherapy, radiation therapy, and surgical procedures, exhibit adverse effects. We used the wheatgrass preparation to",https://pubmed.ncbi.nlm.nih.gov/42404977/,PubMed
Integrated proteomic profiling and in silico miRNA and lncRNA analysis of glucose-capped fisetin silver nanoparticle-mediated cell proliferation arrest in breast cancer.,"Subhalakshmi K, Veeraraghavan Vishnu Priya, Sivagnanam Ananthi",3 Biotech,2026-07-06,"Breast cancer remains the most common cancer among women and a major cause of mortality. Fisetin, a natural compound, has demonstrated anti-cancer activity, but its limited bioavailability reduces its therapeutic effect. To overcome this, glucose-capped fisetin silver nanoparticles (GF-Ag NPs) were synthesised, and their significant impact on the MDA-MB-231 breast cancer cell line is reported. Thi",https://pubmed.ncbi.nlm.nih.gov/42404972/,PubMed
RBM15 enhances ILDR1 n6-methyladenosine methylation to accelerate gastric adenocarcinoma progression via an IGF2BP3-dependent manner.,"Hu Wei, Zhou Xin, Jiang Bin",Cytotechnology,2026-07-06,"Gastric adenocarcinoma (GA), a major contributor to cancer-related mortality worldwide, is characterized by malignant progression driven by complex gene regulatory networks. However, the biological functions and N6-methyladenosine (m The online version contains supplementary material available at 10.1007/s10616-026-01022-7.",https://pubmed.ncbi.nlm.nih.gov/42404851/,PubMed
"Integration of transcriptome profiling to identify key genes involved in the interplay between oxidative stress and mitophagy in major depressive disorder, followed by multidimensional phenotypic validation.","Fang Haiyan, Zhu Guangjun, Chen Jin",Frontiers in psychiatry,2026-07-06,"Major depressive disorder (MDD) is recognized as a pressing global public health burden. However, its molecular mechanisms remain incompletely understood. In this study, an integrative analysis of transcriptome datasets from the GEO database was conducted. GEO2R and the R programming language were used to identify differentially expressed genes (DEGs) related to oxidative stress and mitophagy. Key",https://pubmed.ncbi.nlm.nih.gov/42404725/,PubMed
Enamel matrix acidification caused by loss of amelogenin phosphorylation disrupts ameloblast pH-regulatory machinery.,"Bui Ai Thu, Bhogadi Lasya, Margolis Henry C",JBMR plus,2026-07-06,"Amelogenin (AMELX), the predominant extracellular enamel matrix protein, contains a single phosphorylation site at serine16 (S16). To investigate the functional significance of AMELX phosphorylation, we generated a knock-in (KI) mouse model (",https://pubmed.ncbi.nlm.nih.gov/42404704/,PubMed
