title,authors,journal,date,abstract,link,source
Mlp1 and Mlp2 cooperate to build a stoichiometric nuclear pore basket in budding yeast.,"Schmidt Keri, Schürch Alexandra P, Dultz Elisa",Journal of cell science,2026-06-22,"The nuclear pore complex is the only gateway between the nucleus and the cytoplasm in eukaryotic cells. Its nucleoplasmic face is decorated by the nuclear basket, a filamentous structure with important roles in mRNA export and chromatin organization. In contrast to major parts of the nuclear pore scaffold, the architecture of the nuclear basket remains poorly defined. Here, we investigate the inte",https://pubmed.ncbi.nlm.nih.gov/42324915/,PubMed
Variants in ZZS Complex-Associated Genes TEX11 and M1AP Are Responsible for Male Infertility and Nonobstructive Azoospermia.,"Ma Ao, Wang Hongyi, Ke Shengwei",Andrology,2026-06-22,"Nonobstructive azoospermia (NOA) is the most severe form of male infertility, with genetic factors contributing to approximately 30% of cases. However, only a small fraction of all NOA cases can be explained by the current genetic findings. ZZS complex participates in meiotic recombination and is necessary for spermatogenesis. To expand the variant spectrum of ZZS complex-associated genes in male ",https://pubmed.ncbi.nlm.nih.gov/42324855/,PubMed
An mRNA-LNP vaccine expressing TP0435 provides protective immunity in rabbits against ,"Lu Zhiyu, Lu Yizhou, Liu Di",Emerging microbes & infections,2026-06-22,"Syphilis, a sexually transmitted disease caused by ",https://pubmed.ncbi.nlm.nih.gov/42324733/,PubMed
Nonsense-Mediated Decay mRNA Quality Control System Is Essential for Root Development and Efficient Root Nodule Symbiosis in Medicago truncatula.,"Biró János B, Péter Csaba, Domonkos Ágota","Plant, cell & environment",2026-06-22,,https://pubmed.ncbi.nlm.nih.gov/42324709/,PubMed
[Diabetic foot care: full-lifecycle management driven by digital intelligent technologies].,"Chen Lihong, Ran Xingwu",Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,2026-06-22,"To conduct a comprehensive review of the latest diagnostic and therapeutic advancements in early warning, regenerative medicine, and digital management for the diabetic foot (DF). Through a systematic review of recent global literature, the paradigm shifts in diabetic foot definitions, artificial intelligence (AI)-driven clinical applications, regenerative strategies, and full-lifecycle management",https://pubmed.ncbi.nlm.nih.gov/42324184/,PubMed
[PRDX1 attenuates hypertensive endothelial dysfunction by inhibiting mTOR/p70S6K signaling].,"Liang Y, Qiu Y M, Liu Z F",Zhonghua xin xue guan bing za zhi,2026-06-22,,https://pubmed.ncbi.nlm.nih.gov/42324107/,PubMed
Antisense RNA controls the degradation of phycobilisomes in heterocyst-forming cyanobacteria by a transcriptional interference mechanism.,"Álvarez-Escribano Isidro, Brenes-Álvarez Manuel, Georg Jens",Nucleic acids research,2026-06-22,"Transcriptional interference is rarely documented in bacteria. In cyanobacteria, phycobilisomes are the major light-harvesting antennae, and their degradation under non-optimal conditions follows a tightly regulated genetic program leading to the production of NblA, a widely conserved proteolytic adapter. NblA production is regulated at both the transcriptional and post-transcriptional levels. Her",https://pubmed.ncbi.nlm.nih.gov/42324081/,PubMed
"SF3B1 phosphorylation is an evolutionarily conserved step in spliceosome activation carried out by the divergent, OTS964-insensitive kinase CRK9 in trypanosomes.","Machida Kazuya, Rattan Priyanka, Cassidento Sofia",Nucleic acids research,2026-06-22,"SF3B1 is a subunit of the heptameric SF3B complex which, as part of the U2 small nuclear ribonucleoprotein, facilitates branch point recognition in pre-mRNA splicing. In addition to this early-stage function, it was recently shown that activation of the spliceosome depends on the phosphorylation of threonine-proline (TP) motifs in the N-terminal domain (NTD) of SF3B1 by cyclin-dependent kinase 11 ",https://pubmed.ncbi.nlm.nih.gov/42324080/,PubMed
The elusive folding mechanism of KH1 domain of Fragile X Messenger Ribonucleoprotein 1.,"Troilo Francesca, Catalano Flavia, Comparini Eleonora",Archives of biochemistry and biophysics,2026-06-22,"K-homology (KH) domains are widespread RNA-binding modules characterized by a conserved fold despite low sequence identity. Among these, the KH domains of the Fragile X messenger ribonucleoprotein 1 (FMRP) play a key role in regulating mRNA translation in neurons, and their dysfunction, caused by missense mutations, is associated with Fragile X syndrome (FXS). In this work, by combining equilibriu",https://pubmed.ncbi.nlm.nih.gov/42324051/,PubMed
"Beyond Strain-Specific Immunity: Conserved Antigenic Targets, Emerging Platforms, and Translational Challenges in Universal Influenza and Pan-Coronavirus Vaccine Development.","Ikrar Taruna, Muchsin Wachyudi, Sophian Alfi",Journal of virological methods,2026-06-22,"The global burden of respiratory viral disease is shaped by two enduring threats: influenza, responsible for 290,000-650,000 annual deaths, and coronaviruses, exemplified by the catastrophic SARS-CoV-2 pandemic that caused over 7 million confirmed fatalities and profound socioeconomic disruption. Current strain-specific vaccines remain inherently reactive, incapable of anticipating antigenic drift",https://pubmed.ncbi.nlm.nih.gov/42324038/,PubMed
