title,authors,journal,date,abstract,link,source
[Methyltransferase-like protein 7B promotes glycolysis and malignant progression in papillary thyroid carcinoma via the USP28/HIF-1α axis].,"Xu Fengyu, Xie Qiuping",Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,2026-06-23,To investigate the expression pattern of methyltransferase-like protein 7B (METTL7B) in papillary thyroid carcinoma (PTC) and elucidate its role and molecular mechanisms in tumor metabolic reprogramming and malignant progression. Public datasets from Gene Expression Omnibus (GEO) and The Cancer Genome Atlas (TCGA) were analyzed to assess METTL7B expression in PTC and its association with clinicopa,https://pubmed.ncbi.nlm.nih.gov/42332350/,PubMed
E4BP4 safeguards brown fat mitochondria from obesity-induced fragmentation via ceramide repression.,"Valdivieso-Rivera Fernando, Furino Vanessa O, Leher Carlos E",EMBO reports,2026-06-23,"Brown adipose tissue (BAT) counteracts obesity-related metabolic dysfunction through both thermogenic and non-thermogenic means. However, substantial evidence indicates that obesity negatively affects BAT mitochondrial morphology and oxidative capacity, impairing systemic energy homeostasis. Motivated by this apparent contradiction, we investigate the relationship between obesity and mitochondrial",https://pubmed.ncbi.nlm.nih.gov/42332066/,PubMed
Excessive postpartum body condition score loss coincides with skeletal muscle proteolysis in dairy cows: molecular and biochemical evidence.,"Chalaki Saman, Dirandeh Essa, Ansari-Pirsaraei Zarbakht",Scientific reports,2026-06-23,The transition period (- 21 to + 21 days relative to calving) in dairy cows is characterized by profound metabolic adaptations that often result in negative energy balance (NEB) and mobilization of body reserves. This study evaluated the association of postpartum body condition score (BCS) loss on the expression of skeletal muscle genes involved in protein metabolism and related biomarkers in bloo,https://pubmed.ncbi.nlm.nih.gov/42331995/,PubMed
Hierarchical interplay between H3K27ac and H3K4me3 in transcriptional regulation.,"Zhou Chenwei, Dong Chanjuan, Zhao Weiye",Nature communications,2026-06-23,"H3K27ac and H3K4me3 are enriched at transcriptional start sites and have been implicated in transcription. However, how these marks concertedly regulate transcription is not fully understood. Here, we develop a dual chemically inducible CRISPR/dCas9-based epigenome editing system that enables independent, temporal and transcription stage-specific modulation of H3K27ac and H3K4me3 at a specific gen",https://pubmed.ncbi.nlm.nih.gov/42331809/,PubMed
Methyltransferase METTL1 regulates MSC mRNA stability via m7G modification in acute pancreatitis.,"Tao Xufeng, Zhang Xiaonan, Guo Fangyue",Cell death & disease,2026-06-23,"Acute pancreatitis (AP) is a serious inflammatory disease with significant morbidity, yet its underlying molecular mechanisms remain incompletely understood. This study reveals a novel epitranscriptomic pathway in AP pathogenesis centered on METTL1-mediated N7-methylguanosine (m7G) RNA modification. We found that METTL1 expression and global m7G levels were significantly elevated in serum from AP ",https://pubmed.ncbi.nlm.nih.gov/42331782/,PubMed
Reprogrammable bacterial nanosyringes to deliver RNA and gene editors.,"Xu Haishan, Feng Lei, Song Ningning",Trends in biotechnology,2026-06-23,"The engineered Photorhabdus virulence cassette (PVC) enables precise protein delivery but has not yet achieved RNA packaging and injection delivery. In this study, we achieved intraluminal RNA loading via the U1A RNA-binding domain, anchoring it to the PVC inner tube and establishing DART (PVC Docker-based All-purpose RNA Injection Delivery Tool). This enabled the protective loading of diverse RNA",https://pubmed.ncbi.nlm.nih.gov/42331684/,PubMed
Association between perfluoroalkyl and polyfluoroalkyl substances and response to the COVID-19 vaccine in a paediatric prospective observational cohort in Arizona.,"Hollister James, Porter Cynthia, Xiang Boqi",BMJ paediatrics open,2026-06-23,"Previous research has shown a significant association between increased serum perfluoroalkyl and polyfluoroalkyl substances (PFAS) concentration and reduced antibody response to vaccinations in children, but this association has not yet been studied for COVID-19 vaccinations. We explored this relationship using data from the Arizona Healthcare, Emergency Response and Other Essential Workers Survei",https://pubmed.ncbi.nlm.nih.gov/42331559/,PubMed
[MiR-527 targeting Bcl-2 inhibits migration and promotes apoptosis in bladder urothelial cell carcinoma].,"Ma L, Zhang Y Y, Wang L",Zhonghua zhong liu za zhi [Chinese journal of oncology],2026-06-23,,https://pubmed.ncbi.nlm.nih.gov/42331549/,PubMed
Fabry Disease: Current Perspectives on Diagnosis and Management Strategies.,"Norouzi Sayna, Ghozloujeh Zohreh Gholizadeh, Lerma Edgar",Advances in kidney disease and health,2026-06-23,"Fabry disease is a rare, X-linked lysosomal storage disorder caused by deficient α-galactosidase A activity, leading to progressive accumulation of globotriaosylceramide in multiple tissues. Its estimated incidence ranges from 1 in 40,000 to 1 in 117,000 live births. Fabry disease manifests primarily as 2 phenotypes: classic (type 1), presenting in childhood with neuropathic pain, fatigue, thermal",https://pubmed.ncbi.nlm.nih.gov/42331443/,PubMed
The significant regulatory role of cytochrome P450 in the innate immune response of the Zhikong scallop (Chlamys farreri).,"Zhao Yue, Qu Xuewei, Ding Xuan",Developmental and comparative immunology,2026-06-23,"Cytochrome P450 (CYP450) enzymes represent a critical class of detoxification enzymes that play essential roles in antioxidant defense, xenobiotic metabolism, and innate immune responses in animals. However, knowledge regarding the gene sequences and functional characteristics of CYP450 genes in mollusks remains limited. In this study, a novel CYP450 gene, designated Cf-CYP450, was cloned from the",https://pubmed.ncbi.nlm.nih.gov/42331123/,PubMed
Bioassay-guided discovery of anti-inflammatory sesquiterpenoids from Lindera aggregata (Sims) Kosterm.,"Tang Jing, Zhan Shi-Jie, Yang Si",Bioorganic chemistry,2026-06-23,"A bioassay-guided phytochemical investigation on the ethyl acetate extract from the roots of Lindera aggregata (Sims) Kosterm led to the isolation of fifteen sesquiterpenoids, comprising twelve previously undescribed compounds, linderasins A-L (1-12), and three known analogues (13-15). Their structures were elucidated by comprehensive spectroscopic analyses, quantum chemical calculations, and sing",https://pubmed.ncbi.nlm.nih.gov/42330853/,PubMed
In vitro assay for quantitative prediction of human intestinal drug absorption with cryopreserved human intestinal mucosal epithelium-derived intestinal stem cells and 96-well Vitrigel inserts.,"Nakamura Keiichiro, Tomabechi Ryuto, Maeda Kazuya",Drug metabolism and disposition: the biological fate of chemicals,2026-06-23,"This study aimed to establish a novel in vitro model by combining jejunal stem cells from commercially available cryopreserved human intestinal mucosal epithelium (CHIM), which can be used without ethical concerns, with 96-well Vitrigel inserts for high-throughput screening. Jejunal stem cells were successfully isolated from CHIM, and stable long-term expansion in spheroid culture was achieved. Th",https://pubmed.ncbi.nlm.nih.gov/42330740/,PubMed
Maternal hypothalamic response to LPS is inhibited by pregnancy and remains unchanged in multiparity-associated obesity.,"Laaker Collin J, Rebholz Sandra L, Woollett Laura A",Psychoneuroendocrinology,2026-06-23,"Multiparity increases the risk of obesity in both humans and animal models. We have previously discovered an increase in proinflammatory cytokine mRNA levels in adipose tissues, placentas, and livers of females in their fourth vs first pregnancy, regardless of age or adiposity, suggesting an increased inflammatory state with subsequent pregnancies. The goal of the current study was to determine wh",https://pubmed.ncbi.nlm.nih.gov/42330684/,PubMed
Cancer intrinsic protein neddylation modulates the intra-tumoral immune landscape to constrain immune checkpoint blockade therapy.,"Papakyriacou Irineos, Lu Yonglin, Jarvius Malin",Cancer immunology research,2026-06-23,"The cancer intrinsic network controlling response to immune checkpoint blockade therapy remains elusive. Using a published single-cell RNA sequencing (scRNA-seq) dataset from breast cancer patients, we found that pre-therapy mRNA expression of NEDD8, which encodes the regulatory protein essential for neddylation, in cancer cells was negatively associated with T-cell expansion upon pembrolizumab tr",https://pubmed.ncbi.nlm.nih.gov/42330494/,PubMed
Deconvolving SARS-CoV-2 mRNA vaccine impact on immunotherapy-related survival.,"Jee Justin, Zhang Jiajia, Lavery Jessica A",Cancer discovery,2026-06-23,"Real-world data suggest that SARS-CoV-2 mRNA vaccines, administered within 100 days of immune checkpoint inhibitor (ICI) treatment (""peri-ICI vaccination""), may improve ICI effectiveness through synergistic immune priming. In an independent real-world cohort and re-analysis of a published cohort, both from tertiary cancer centers in the USA, multiple analyses did not support a treatment-synergy hy",https://pubmed.ncbi.nlm.nih.gov/42330421/,PubMed
"Correction to ""Thiolate DNAzymes on Gold Nanoparticles for Isothermal Amplification and Detection of Mesothelioma-derived Exosomal PD-L1 mRNA"".","Zhand Sareh, Zhu Ying, Nazari Hojjatollah",Analytical chemistry,2026-06-23,,https://pubmed.ncbi.nlm.nih.gov/42330241/,PubMed
Integrative modelling of innate immune response dynamics during virus infection.,"Boddepalli Ramya, Chhajera Harsh, Roya Rahul",PLoS computational biology,2026-06-23,"Positive-sense RNA viruses that constitute a large class of human pathogens employ various strategies to suppress and evade host immune defenses. Understanding the dynamic interaction between the viral life cycle and immune signaling is crucial to designing effective antiviral strategies. Although significant progress has been made, quantitative models that can accurately capture the intricate int",https://pubmed.ncbi.nlm.nih.gov/42330080/,PubMed
"The nuclear basket nucleoporin MLP1 is required to maintain nuclear integrity, and mitotic fidelity in Trypanosoma brucei.","Yagoubat Akila, Crobu Lucien, Stanojcic Slavica",PLoS neglected tropical diseases,2026-06-23,"Trypanosoma brucei, a divergent eukaryote parasite, is responsible for neglected tropical diseases in humans and animals, specifically sleeping sickness or human African trypanosomiasis and nagana. Beyond its scientific significance, a comprehensive understanding of its biology has substantial medical and economical implications. Nuclear pore complexes (NPCs) are large multiprotein channels embedd",https://pubmed.ncbi.nlm.nih.gov/42330037/,PubMed
Functional comparison of SP6 RNA polymerase and T7 RNA polymerase.,"Gutbrod Julia, Hehn Svenja, Bangnowski Antonia",PloS one,2026-06-23,"RNA-based therapeutics have emerged as a powerful class of drugs, highlighted by the rapid development and success of COVID-19 vaccines. Therapeutic RNA synthesis relies on in vitro transcription (IVT), most commonly using bacteriophage RNA polymerases (RNAP) such as T7 RNAP and SP6 RNAP. However, efficient incorporation of modified nucleotides and the reduction of double-stranded RNA (dsRNA) by-p",https://pubmed.ncbi.nlm.nih.gov/42329985/,PubMed
"Pharmacokinetic interactions between three SGLT2 inhibitors and telmisartan: A focus on empagliflozin, ertugliflozin, and henagliflozin.","Zhou Xin, Deng Yanru, Guo Caihui",PloS one,2026-06-23,"Patients with type 2 diabetes mellitus (T2DM) usually accompany with the occurrence of high blood pressure, necessitating a combination of treatments. This includes sodium-glucose co-transporter 2(SGLT2) inhibitors like empagliflozin, ertugliflozin, and henagliflozin, and antihypertensives like telmisartan. Both classes interact with transporters like P-glycoprotein (P-gp) and breast cancer resist",https://pubmed.ncbi.nlm.nih.gov/42329962/,PubMed
Energy-efficient codon optimization on thermodynamic hardware,"Andraz Jelincic, Ross C. Walker",arXiv,2026-06-23,"The growing energy demand for computation is becoming increasingly unsustainable. Thermodynamic computing, which harnesses physical thermal fluctuations as a computational resource rather than suppressing them, offers orders-of-magnitude energy savings for probabilistic and combinatorial tasks. Pharmaceutical R&D, heavily reliant on computational optimization and sampling, is a natural application",http://arxiv.org/abs/2606.17327v1,arXiv
mRNAutilus: Multi-Objective-Guided Discrete Generation of mRNA with Optimized Therapeutic Properties,"Sawan Patel, Sophia Tang, Yesol Kim",arXiv,2026-06-23,"Therapeutic mRNA design requires coordinating multiple interacting sequence features across the full transcript, where codon usage, untranslated regions (UTRs), and their coupling jointly determine stability, translation efficiency, and protein expression. Here, we present mRNA generation via unrolled trajectories and informed latent updates (mRNAutilus), a framework for simultaneous codon optimiz",http://arxiv.org/abs/2605.31296v1,arXiv
Sampling-based Continuous Optimization for Messenger RNA Design,"Feipeng Yue, Ning Dai, Wei Yu Tang",arXiv,2026-06-23,"Designing messenger RNA (mRNA) sequences for a fixed target protein requires searching an exponentially large synonymous space while optimizing properties that affect stability and downstream performance. This is challenging because practical mRNA design involves multiple coupled objectives beyond classical folding criteria, and different applications prefer different trade-offs. We propose a gene",http://arxiv.org/abs/2603.06559v1,arXiv
Drug-like antibodies with low immunogenicity in human panels designed with Latent-X2," Latent Labs Team, Henry Kenlay, Daniella Pretorius",arXiv,2026-06-23,"Drug discovery has long sought computational systems capable of designing drug-like molecules directly: developable and non-immunogenic from the start. Here we introduce Latent-X2, a frontier generative model that achieves this goal through zero-shot design of antibodies with strong binding affinities, drug-like properties, and, for the first time for any de novo generated antibody, confirmed low ",http://arxiv.org/abs/2512.20263v1,arXiv
"RNAGenScape: Property-Guided, Optimized Generation of mRNA Sequences with Manifold Langevin Dynamics","Danqi Liao, Chen Liu, Xingzhi Sun",arXiv,2026-06-23,"Generating property-optimized mRNA sequences is central to applications such as vaccine design and protein replacement therapy, but remains challenging due to limited data, complex sequence-function relationships, and the narrow space of biologically viable sequences. Generative methods that drift away from the data manifold can yield sequences that fail to fold, translate poorly, or are otherwise",http://arxiv.org/abs/2510.24736v3,arXiv
Yeast growth is controlled by the proportional scaling of mRNA and ribosome concentrations,"Xin Gao, Michael Lanz, Rosslyn Grosely",arXiv,2026-06-23,"Despite growth being fundamental to all aspects of cell biology, we do not yet know its organizing principles in eukaryotic cells. Classic models derived from the bacteria E. coli posit that protein-synthesis rates are set by mass-action collisions between charged tRNAs produced by metabolic enzymes and mRNA-bound ribosomes. These models show that faster growth is achieved by simultaneously raisin",http://arxiv.org/abs/2508.14997v1,arXiv
mRNA Folding Algorithms for Structure and Codon Optimization,"Max Ward, Mary Richardson, Mihir Metkar",arXiv,2026-06-23,"mRNA technology has revolutionized vaccine development, protein replacement therapies, and cancer immunotherapies, offering rapid production and precise control over sequence and efficacy. However, the inherent instability of mRNA poses significant challenges for drug storage and distribution, particularly in resource-limited regions. Co-optimizing RNA structure and codon choice has emerged as a p",http://arxiv.org/abs/2503.19273v1,arXiv
Generative Model for Synthesizing Ionizable Lipids: A Monte Carlo Tree Search Approach,"Jingyi Zhao, Yuxuan Ou, Austin Tripp",arXiv,2026-06-23,"Ionizable lipids are essential in developing lipid nanoparticles (LNPs) for effective messenger RNA (mRNA) delivery. While traditional methods for designing new ionizable lipids are typically time-consuming, deep generative models have emerged as a powerful solution, significantly accelerating the molecular discovery process. However, a practical challenge arises as the molecular structures genera",http://arxiv.org/abs/2412.00807v1,arXiv
Machine learning framework to predict the performance of lipid nanoparticles for nucleic acid delivery,"Gaurav Kumar, Arezoo M. Ardekani",arXiv,2026-06-23,"Lipid nanoparticles (LNPs) are highly effective carriers for gene therapies, including mRNA and siRNA delivery, due to their ability to transport nucleic acids across biological membranes, low cytotoxicity, improved pharmacokinetics, and scalability. A typical approach to formulate LNPs is to establish a quantitative structure-activity relationship (QSAR) between their compositions and in vitro/in",http://arxiv.org/abs/2411.14293v1,arXiv
Joint Design of 5' Untranslated Region and Coding Sequence of mRNA,"Yang Liu, Jie Gao, Xiaonan Zhang",arXiv,2026-06-23,"Messenger RNA (mRNA) vaccines and therapeutics are emerging as powerful tools against a variety of diseases, including infectious diseases and cancer. The design of mRNA molecules, particularly the untranslated region (UTR) and coding sequence (CDS) is crucial for optimizing translation efficiency and stability. Current design approaches generally focus solely on either the 5' UTR or the CDS, whic",http://arxiv.org/abs/2410.20781v1,arXiv
Bacterial stress granule protects mRNA through ribonucleases exclusion,"Linsen Pei, Yujia Xian, Xiaodan Yan",arXiv,2026-06-23,"Membraneless droplets formed through liquid-liquid phase separation (LLPS) play a crucial role in mRNA storage, enabling organisms to swiftly respond to environmental changes. However, the mechanisms underlying mRNA integration and protection within droplets remain unclear. Here, we unravel the role of bacterial aggresomes as stress granules (SGs) in safeguarding mRNA during stress. We discovered ",http://arxiv.org/abs/2404.17873v2,arXiv
"Hypolipidemic effect of brown seaweed (Sargassum crassifolium) extract in vivo (Study of histopathology, mRNA expression, and immunohistochemistry (IHC) with VCAM-1, ICAM-1, and MCP-1 parameters)","Sarah Zaidan, Syamsudin Abdillah, Nur Arfian",arXiv,2026-06-23,The purpose of this study was to obtain natural drugs from brown seaweed (Sargassum crassifolium) as antiatherosclerosis candidates through the study of hypolipidemic mechanisms of action. Modeling of dyslipidemia rats was carried out by feeding high-fat (HFF) and doses of crude fucoidan 100. 200. 400mg / KgBB. in both treatments measured blood lipid profile levels taken from the orbital sinuses. ,http://arxiv.org/abs/2402.07497v1,arXiv
Machine Learning Modeling Of SiRNA Structure-Potency Relationship With Applications Against Sars-Cov-2 Spike Gene,Damilola Oshunyinka,arXiv,2026-06-23,"The pharmaceutical Research and development (R&D) process is lengthy and costly, taking nearly a decade to bring a new drug to the market. However, advancements in biotechnology, computational methods, and machine learning algorithms have the potential to revolutionize drug discovery, speeding up the process and improving patient outcomes. The COVID-19 pandemic has further accelerated and deepened",http://arxiv.org/abs/2401.12232v1,arXiv
Messenger RNA Design via Expected Partition Function and Continuous Optimization,"Ning Dai, Wei Yu Tang, Tianshuo Zhou",arXiv,2026-06-23,"The tasks of designing RNAs are discrete optimization problems, and several versions of these problems are NP-hard. As an alternative to commonly used local search methods, we formulate these problems as continuous optimization and develop a general framework for this optimization based on a generalization of classical partition function which we call ""expected partition function"". The basic idea ",http://arxiv.org/abs/2401.00037v2,arXiv
Machine Learning-guided Lipid Nanoparticle Design for mRNA Delivery,"Daisy Yi Ding, Yuhui Zhang, Yuan Jia",arXiv,2026-06-23,"While RNA technologies hold immense therapeutic potential in a range of applications from vaccination to gene editing, the broad implementation of these technologies is hindered by the challenge of delivering these agents effectively. Lipid nanoparticles have emerged as one of the most widely used delivery agents, but their design optimization relies on laborious and costly experimental methods. W",http://arxiv.org/abs/2308.01402v2,arXiv
Corrected Hill Function in Stochastic Gene Regulatory Networks,"Manuel Eduardo Hernández-García, Jorge Velázquez-Castro",arXiv,2026-06-23,"Describing reaction rates in stochastic bio-circuits is commonly done by directly introducing the deterministically deduced Hill function into the master equation. However, when fluctuations in enzymatic reaction rates are not neglectable, the Hill function must be derived, considering all the involved stochastic reactions. In this work, we derived the stochastic version of the Hill function from ",http://arxiv.org/abs/2307.03057v4,arXiv
Stochastic dynamics and ribosome-RNAP interactions in Transcription-Translation Coupling,"Xiangting Li, Tom Chou",arXiv,2026-06-23,"Under certain cellular conditions, transcription and mRNA translation in prokaryotes appear to be ""coupled,"" in which the formation of mRNA transcript and production of its associated protein are temporally correlated. Such transcription-translation coupling (TTC) has been evoked as a mechanism that speeds up the overall process, provides protection during the transcription, and/or regulates the t",http://arxiv.org/abs/2207.04568v1,arXiv
Coronavirus RNA Sensor Using Single-Stranded DNA Bonded to Sub-Percolated Gold Films on Monolayer Graphene Field-Effect Transistors,"Nicholas E. Fuhr, Mohamed Azize, David J. Bishop",arXiv,2026-06-23,"Electrical detection of messenger ribonucleic acid (mRNA) is a promising approach to enhancing transcriptomics and disease diagnostics because of its sensitivity, rapidity, and modularity. Reported here is a fast SARS-CoV-2 mRNA biosensor (<1 minute) with a limit of detection of 1 aM, and dynamic range of 4 orders of magnitude and a linear sensitivity of 22 mV per molar decade. These figures of me",http://arxiv.org/abs/2205.05143v1,arXiv
Deep learning models for predicting RNA degradation via dual crowdsourcing,"Hannah K. Wayment-Steele, Wipapat Kladwang, Andrew M. Watkins",arXiv,2026-06-23,"Messenger RNA-based medicines hold immense potential, as evidenced by their rapid deployment as COVID-19 vaccines. However, worldwide distribution of mRNA molecules has been limited by their thermostability, which is fundamentally limited by the intrinsic instability of RNA molecules to a chemical degradation reaction called in-line hydrolysis. Predicting the degradation of an RNA molecule is a ke",http://arxiv.org/abs/2110.07531v2,arXiv
Coagulapathies after vaccination against SARS-CoV-2 may be derived from a combination effect of SARS-CoV-2 spike protein and adenovirus vector-triggered signaling pathways,Ralf Kircheis,arXiv,2026-06-23,"The novel coronavirus SARS-CoV-2 has resulted in a global pandemic with worldwide 6-digital infection rates and thousands death tolls daily. Enormeous effords are undertaken to achieve high coverage of immunization in order to reach herd immunity to stop spreading of SARS-CoV-2 infection. Several SARS-CoV-2 vaccines, based either on mRNA, viral vectors, or inactivated SARS-CoV-2 virus have been ap",http://arxiv.org/abs/2109.00089v1,arXiv
Functional Characterization of AgIQCG in Red-Blood Trait Maintenance of the Blood Clam Anadara granosa.,"Zhang Mengshi, Li Lun, Zhu Jiangjiang",Fish & shellfish immunology,2026-06-23,"The blood clam (Anadara granosa) is a distinctive bivalve species characterized by red hemolymph and pronounced red-blood traits. However, the molecular basis underlying the maintenance of these traits remains unclear. In our previous genome-wide association study (GWAS), AgIQCG was identified as a candidate gene associated with red-blood traits. Here, we characterized the sequence features, struc",https://pubmed.ncbi.nlm.nih.gov/42331241/,PubMed
Role of the serine/threonine kinase polo in pupal-adult metamorphosis and oogenesis of Lasioderma serricorne female.,"Zu Ming-Xun, Yu Le-Le, Xu Kang-Kang",International journal of biological macromolecules,2026-06-23,"The serine/threonine-protein kinase polo plays a crucial role in regulating the cell cycle and mitosis in insects. While the cigarette beetle, Lasioderma serricorne, is a globally distributed pest threatening stored products, the functions of its polo gene remain largely unexplored. This study investigates the polo gene to elucidate its role in the development and reproduction of L. serricorne. Th",https://pubmed.ncbi.nlm.nih.gov/42331167/,PubMed
The GmCYCLOPS paralogs regulate soybean nodulation and exhibit signatures during domestication.,"Lei Yuanting, Liu Zhi, Chen Qiang",Plant science : an international journal of experimental plant biology,2026-06-23,"CYCLOPS functions as a central regulator in legume-rhizobia symbiosis, but its role in cultivated soybean remains incompletely characterized. Through homology-based sequence analysis using Lotus japonicus LjCYCLOPS as a query, two soybean orthologs were identified, GmCYCLOPS1 and GmCYCLOPS2, sharing 98.1% amino acid identity. Both genes exhibited root- and nodule-enriched expression, with peak ind",https://pubmed.ncbi.nlm.nih.gov/42331038/,PubMed
Expansion-Assisted Hybridization Chain Reaction-smFISH and Immunohistochemistry in Drosophila Brain.,"Mirshahidi Parmis, Frighetto Giovanni, Orth James",Journal of visualized experiments : JoVE,2026-06-23,"Quantitative, spatially resolved analysis of gene expression is essential for assessing cell-type-specific molecular profiles. In the Drosophila visual system, extensive genetic tools open a framework for direct evaluation of both RNA and protein levels in defined neuronal populations. Here, we present a step-by-step protocol that combines expansion-assisted HCR-smFISH (hybridization chain reactio",https://pubmed.ncbi.nlm.nih.gov/42330055/,PubMed
Chaperone-mediated autophagy reprograms heterogeneous subsets of activated macrophages in immune thrombocytopenia.,"Xu Yitong, Zhang Ping, Wang Lingjun",Autophagy,2026-06-23,"IFNG (interferon gamma)-activated macrophages contribute to accelerated clearance of platelets and excessive secretion of inflammatory cytokines in immune thrombocytopenia (ITP). In this study, we identified two distinct subpopulations of activated macrophages: phagocytic macrophages (M[IFNG]",https://pubmed.ncbi.nlm.nih.gov/42329073/,PubMed
Hl48 modulates argonaute 2 to enhance RNA interference in ticks.,"Yao Qian, Zhou Yongzhi, Cao Jie",Frontiers in cellular and infection microbiology,2026-06-23,"Ticks are major vectors of human and animal pathogens, and the development of novel, species-specific control strategies is urgently needed. RNA interference (RNAi) holds promise as a targeted approach for tick control; however, its practical application has been limited by variable efficiency and an incomplete understanding of the underlying regulatory mechanisms in these arthropods. Using transc",https://pubmed.ncbi.nlm.nih.gov/42328181/,PubMed
"Programmable nanocarriers for precision plant engineering: converging nanotechnology, CRISPR, and next-generation breeding.","Singh Aditya Pratap, Haider Saba, Sawarkar Ashutosh",Frontiers in plant science,2026-06-23,"The convergence of nanotechnology and genome editing in plant sciences is redefining modern precision breeding through efficient, transgene free, tissue culture independent pathways for genetic improvement in crops. Conventional breeding and transgenic tools are limited to genotype dependency, inefficient gene delivery, unpredictable transgene insertions, thereby restricting their application in e",https://pubmed.ncbi.nlm.nih.gov/42328080/,PubMed
ETH and Burs-α are necessary for the normal molting in ,"Andrada Nicolás Luján, Crespo Mariana, Baricalla Agustin Ariel",Frontiers in insect science,2026-06-23,"Insects are among the most diverse and widely distributed organisms worldwide. They are studied for both their beneficial ecological roles and their impact as agricultural pests. Molting is a critical process for insect growth and development and is tightly regulated by specific enzymes and hormones. In this study, we identified and characterized two key hormones, Bursicon-α (Burs-α) and Ecdysis T",https://pubmed.ncbi.nlm.nih.gov/42328018/,PubMed
Divergence of Cortical Force-Generating Mechanisms Underlies Differences in Spindle Behavior between ,"Oomura Shun, Kyoda Koji, Onami Shuichi",bioRxiv : the preprint server for biology,2026-06-23,Microtubule-dependent pronuclear migration and mitotic spindle positioning are fundamental processes during the first embryonic division in many animals. In the one-cell embryo of ,https://pubmed.ncbi.nlm.nih.gov/42327320/,PubMed
Cracking the wall: the fungal cell wall assembly protein ECM33 is a promising molecular target in powdery mildew fungi.,"Padilla-Roji Isabel, Jiménez-Sánchez Alejandro, Yugueros Sara",Horticulture research,2026-06-23,"Cucurbit powdery mildew, predominantly caused by ",https://pubmed.ncbi.nlm.nih.gov/42325904/,PubMed
Unraveling the Mechanism of Action: Novel Steroidal Piperidone Compound ,"Qin Mengfan, Wang Jinyan, Zhan Qi",Journal of agricultural and food chemistry,2026-06-23,Aphids are important worldwide pests in crop production. Steroidal Piperidone Compound ,https://pubmed.ncbi.nlm.nih.gov/42324715/,PubMed
"Targeting octopamine synthesis genes LsTDC and LsTβH impairs reproduction, feeding and virus transmission in the small brown planthopper Laodelphax striatellus.","Xu Gang, Shao Chenjia, Yan Zihan",Pest management science,2026-06-23,"Octopamine (OA) is an important biogenic amine in insects, and regulates multiple physiological and behavioral processes. Tyrosine decarboxylase (TDC) and tyramine β-hydroxylase (TβH) are critical enzymes in the biosynthesis of OA. The small brown planthopper Laodelphax striatellus is a major rice pest and causes serious damage by transmitting plant viruses, such as rice stripe virus (RSV). Howeve",https://pubmed.ncbi.nlm.nih.gov/42324648/,PubMed
Direct quantification of waterborne viruses via high-temperature and high-pressure treatment: a simplified nucleic acid extraction-free approach.,"Soda Keita, Miyauchi Yuki, Katayama Hiroyuki",Scientific reports,2026-06-23,"High-temperature and high-pressure treatment (HTP) is a physical lysis method that enables direct quantification of viral genomes from environmental samples without nucleic acid extraction. This study assessed the applicability of HTP for rapid virus detection using pepper mild mottle virus (PMMoV) as a model. Optimal conditions for PMMoV quantification were identified as 120 °C for 15 s, yielding",https://pubmed.ncbi.nlm.nih.gov/42324295/,PubMed
Antisense RNA controls the degradation of phycobilisomes in heterocyst-forming cyanobacteria by a transcriptional interference mechanism.,"Álvarez-Escribano Isidro, Brenes-Álvarez Manuel, Georg Jens",Nucleic acids research,2026-06-23,"Transcriptional interference is rarely documented in bacteria. In cyanobacteria, phycobilisomes are the major light-harvesting antennae, and their degradation under non-optimal conditions follows a tightly regulated genetic program leading to the production of NblA, a widely conserved proteolytic adapter. NblA production is regulated at both the transcriptional and post-transcriptional levels. Her",https://pubmed.ncbi.nlm.nih.gov/42324081/,PubMed
Immunoelectroanalytical multiplexing of RNA methylation signatures to decode oncogenic point mutations in cancer cells.,"Pérez-Ginés Víctor, Torrente-Rodríguez Rebeca M, Rejas-González Raquel",Talanta,2026-06-23,Epigenomic and epitranscriptomic alterations-particularly RNA methylations such as N,https://pubmed.ncbi.nlm.nih.gov/42323914/,PubMed
Gene delivery for cerebral neurodegenerative disorders - current advancements and limitations.,"Dayma Kunal, Upadhyay Arun",Molecular therapy : the journal of the American Society of Gene Therapy,2026-06-23,"Gene delivery for neurodegenerative cerebral disorders faces formidable structural and practical challenges. The blood-brain, blood- cerebrospinal fluid (CSF), and arachnoid barriers tightly regulate molecular traffic, restrict paracellular diffusion, and actively clear xenobiotics, limiting brain penetration and retention of large molecules and nucleic acid therapeutics. Additional barriers inclu",https://pubmed.ncbi.nlm.nih.gov/42322051/,PubMed
