title,authors,journal,date,abstract,link,source
LINC01117 promotes the malignant proliferation of lung adenocarcinoma by increasing HOXD8 mRNA stability.,"Zeng Lizhong, Shi Jie, Zhang Cai",Molecular medicine reports,2026-06-05,The present study aimed to investigate the functional role and molecular mechanisms of long intergenic non‑protein coding RNA 1117 (LINC01117) in lung adenocarcinoma (LUAD). Bioinformatics analysis was performed to assess the expression level and prognostic value of LINC01117. Gene expression in LUAD and lung squamous cell carcinoma tissues was determined by reverse transcription‑quantitative poly,https://pubmed.ncbi.nlm.nih.gov/42246151/,PubMed
Reciprocal Regulation of GLI1 and GLI3 Fine Tunes the Pathogenic Behavior of Synovial Fibroblasts in Rheumatoid Arthritis.,"Sato Motohiko, Saito Tetsuya, Komiya Yoji",International journal of rheumatic diseases,2026-06-05,"We investigated the role of GLI3, a transcription factor highly expressed in the pathogenic THY1 GLI3 protein levels were quantified in freshly isolated RASF subsets by Western blotting. Bulk RASFs were subjected to siRNA-mediated knockdown (KD) of GLI3 or GLI1, followed by RNA sequencing. The effects of GANT61 on RASF proliferation, cell-cycle progression, migration, viability, and apoptosis were",https://pubmed.ncbi.nlm.nih.gov/42246142/,PubMed
Construction and Analysis of ceRNA Regulatory Networks Reveal the Core Genes Associated with Rheumatoid Arthritis.,"Zhang Cheng, Chen Xiaomei, Yu Hongmin",International journal of general medicine,2026-06-05,"Circular RNAs (circRNAs), microRNAs (miRNAs), and transcription factors (TFs) participate in the immune dysregulation that drives rheumatoid arthritis (RA), but their integrated regulatory architecture in peripheral blood remains incompletely defined. We therefore constructed a circRNA-miRNA-TF-mRNA competing endogenous RNA (ceRNA) network and performed experimental validation in a collagen-induce",https://pubmed.ncbi.nlm.nih.gov/42246038/,PubMed
Antimicrobial photodynamic therapy with ,"Kim Jin-Woo, Hong Sung-Chul, Kwon Jaeyoung",Frontiers in cellular and infection microbiology,2026-06-05,Antimicrobial photodynamic therapy is a promising approach for mitigating antimicrobial infections due to its effective skin homeostasis recovery and lower risk of inducing bacterial resistance. This study aims to investigate the ameliorative effects of combined treatment of red light and ,https://pubmed.ncbi.nlm.nih.gov/42246009/,PubMed
"Integration of phytohormones, miRNAs and transcriptome sequencing in cucumber fruit development under high-temperature stress.","Dan Zhong, Du Kanghua, Zhang Da",Food chemistry. Molecular sciences,2026-06-05,"The molecular mechanisms by which heat stress compromises cucumber yield and quality, particularly the epigenetic regulatory networks, remain largely unknown. Here, we show that miRNAs act as key epigenetic mediators that integrating environmental and hormonal signals to coordinate stress adaptation with fruit development. Using a heat-sensitive cucumber line, we performed a multi-omics analysis, ",https://pubmed.ncbi.nlm.nih.gov/42245747/,PubMed
Enforced BATF expression via clinically approved LNPs enhances adoptive T-cell therapies.,"Ge Hanchi, Wang Keyu, Chen Lianting","Blood science (Baltimore, Md.)",2026-06-05,"Chimeric antigen receptor (CAR) T-cell therapy is highly effective in hematologic malignancies, yet its durability is limited by insufficient expansion, persistence, and T-cell exhaustion. Basic leucine zipper ATF-like transcription factor (BATF) promotes CD8",https://pubmed.ncbi.nlm.nih.gov/42245679/,PubMed
Comparative transcriptome analysis unveils unique antiviral immune signatures of ,"Zhao Lamei, Han Yelin, Wang Yuyang",Frontiers in immunology,2026-06-05,"Multi-tissue transcriptomes were generated from six individuals of  By integrating comprehensive transcriptomic analyses of protein-coding RNAs with the prediction of lncRNA, this study provides a systematic molecular framework based on constitutive gene expression for understanding the mechanisms of viral tolerance in ",https://pubmed.ncbi.nlm.nih.gov/42245674/,PubMed
Low effectiveness of influenza vaccines vis-à-vis mechanism of protection by vaccines - potential causes and recommendations to improve control of influenza.,"Gupta Rajesh K, Alugupalli Kishore R, Cowell James L",Frontiers in immunology,2026-06-05,"Current licensed influenza vaccines primarily protect by eliciting antibodies against the viral hemagglutinin (HA) glycoprotein, thereby blocking viral attachment and fusion with host cells. Unlike most vaccines, influenza vaccines must be administered annually because circulating viruses undergo continuous antigenic drift and population antibody titers wane over time. Despite yearly reformulation",https://pubmed.ncbi.nlm.nih.gov/42245671/,PubMed
Association of peripheral blood LUBAC and OTULIN expression with severity and outcome in acute ischemic stroke: a prospective cohort study.,"Chen Wei, Chen Zewen, Chen Hongqun",Frontiers in immunology,2026-06-05,This study investigated whether peripheral blood expression of linear ubiquitin chain assembly complex (LUBAC) and OTU deubiquitinase with linear linkage specificity (OTULIN) is associated with stroke severity and functional outcome in acute ischemic stroke (AIS) patients. Immunofluorescence for LUBAC and OTULIN was performed in cortical autopsy specimens from two AIS cases. A total of 100 AIS pat,https://pubmed.ncbi.nlm.nih.gov/42245667/,PubMed
CORSA study finds spike-specific blunted immune responses in lymphoma patients after SARS-CoV-2 vaccine.,"Mazzotti Lucia, Musuraca Gerardo, Affaticati Fabio",Frontiers in immunology,2026-06-05,"Hematological patients are at higher risk of severe SARS-CoV-2 infection and exhibit impaired vaccine responses due to disease and therapy. Treatments like Rituximab are known to compromise immune function, reducing the generation of protective antibodies. In the CORSA trial, we evaluated humoral and cellular responses to messenger RNA vaccines against SARS-CoV-2 in 77 patients with hematological ",https://pubmed.ncbi.nlm.nih.gov/42245663/,PubMed
Long-term immune response to mRNA anti-SARS-CoV-2 vaccination in patients with cancer.,"Lobo-Martins Soraia, Martins-Branco Diogo, Padonou Francine",Frontiers in immunology,2026-06-05,"Patients with cancer are at increased risk of morbidity and mortality from COVID-19 but were underrepresented in pivotal vaccine trials. Data on the magnitude and determinants of immune responses to mRNA SARS-CoV-2 vaccination in this population remain limited. I-SPARC is a prospective, phase IV clinical trial evaluating humoral and cellular immune responses to mRNA SARS-CoV-2 vaccination in 115 p",https://pubmed.ncbi.nlm.nih.gov/42245650/,PubMed
