title,authors,journal,date,abstract,link,source
Dependence of energy balance and hypothalamic neuropeptide gene expression on initial tumor load in mice.,"Licursi Maria, Morden Caleb, Riwa Deogratias G",Frontiers in oncology,2026-06-04,"Animal models of cancer anorexia/cachexia are instrumental in investigating the underlying mechanisms. However, even among reports on the same cancer model, experimental procedures can vary, hindering the comparisons between studies. To determine the impact of the number of implanted cancer cells on experimental outcomes, we directly compared tumor-bearing (TB) mice inoculated with Lewis-lung carc",https://pubmed.ncbi.nlm.nih.gov/42239891/,PubMed
Alternative 3' Polyadenylation Responses to Acute Ethanol Exposure Differ Between Drosophila Populations.,"Boateng-Sarfo George, Lee Seungjae, Lai Eric",Research square,2026-06-04,"Alternative polyadenylation is a pervasive post-transcriptional mechanism that generates mRNA isoforms with distinct 3' untranslated regions (3' UTRs), which can influence transcript stability, localization and translation. Ethanol is an environmental stressor for Drosophila melanogaster, and natural populations show distinct responses to ethanol exposure, suggesting that the genetic background ca",https://pubmed.ncbi.nlm.nih.gov/42239747/,PubMed
Optimizing C14120-based lipid nanoparticles for mRNA delivery: Editorial commentary.,"Fung Vincent, Argenti Caroline, Magaw Maggie",Molecular therapy. Nucleic acids,2026-06-04,,https://pubmed.ncbi.nlm.nih.gov/42239497/,PubMed
Expanding the toolbox: Emerging antisense oligonucleotide mechanisms for modulating gene expression.,"Trew Isabella, Wilton Steve D, Cale Jessica M",Molecular therapy. Nucleic acids,2026-06-04,"Decades of research have cemented antisense oligonucleotides (ASOs) as a cornerstone of molecular medicine. Advancements in synthesis and chemical modification, together with an improved understanding of the human genome and transcriptome, have enabled their emergence as highly specific and tailorable therapeutics across a wide variety of conditions. Although the greatest strength of ASOs lies in ",https://pubmed.ncbi.nlm.nih.gov/42239496/,PubMed
Functional Characterization of a Novel Intronic Complement Factor I Variant in Factor I Deficiency and Atypical Hemolytic Uremic Syndrome.,"Nagy Simon Péter, Dobner Sarolta, Szumutku Fanni",Kidney international reports,2026-06-04,"The role of noncanonical intronic splice site variants in atypical hemolytic uremic syndrome (aHUS) cases without identified pathogenic variants has long been postulated. We previously identified a novel intronic variant (c.328+42G>A) in the complement factor I ( After screening our genetic registry for patients with potential FI-driven pathologies, the identified c.328+42G>A carriers and their fa",https://pubmed.ncbi.nlm.nih.gov/42239491/,PubMed
Mesenchymal-derived neural progenitors underlie local ,"Diwedi Bidhi, Neog Anindita, Baanannou Aissette",bioRxiv : the preprint server for biology,2026-06-04,"In humans, retinal-neuron death, optic-nerve injuries, and associated neurodegenerative diseases, such as glaucoma and age-related macular degeneration, often lead to permanent vision loss. While the capacity for regeneration is low in the human nervous system, including the retina, some non-mammalian vertebrate species, including zebrafish, are capable of endogenous neuronal regeneration after in",https://pubmed.ncbi.nlm.nih.gov/42239431/,PubMed
FTO separation-of-function mutations alter m ,"Abeyrathne Eluwawalage Kasun Dilshan, Shimanski Brittany, Warminski Marcin",bioRxiv : the preprint server for biology,2026-06-04,The RNA demethylase FTO erases N6-methyladenosine (m ,https://pubmed.ncbi.nlm.nih.gov/42239405/,PubMed
Direct RNA Sequencing reveals epitranscriptomic regulation of brain cells and Alzheimer's Disease pathology.,"Byrne Ashley, Hoover Jonathan, Lund Jessica",bioRxiv : the preprint server for biology,2026-06-04,"Alternative mRNA splicing and post-transcriptional RNA modification are key mechanisms that regulate transcript function; however, their role in neuronal activity and neurodegenerative disease remains poorly defined. In this study, we evaluated two nanopore-based long-read sequencing (LR-seq) formats: cDNA-PCR sequencing (CPS) and direct RNA sequencing (DRS). We then applied DRS to profile both fu",https://pubmed.ncbi.nlm.nih.gov/42239401/,PubMed
Inflammatory Stromal Aging in Ulcerative Colitis and Colitis-Associated Cancer.,"Almotah Khalil, Tran Uyen, Gilbert Haylee",bioRxiv : the preprint server for biology,2026-06-04,"Ulcerative colitis is a chronic inflammatory bowel disease that can progress from dysplasia to cancer. Inflammatory responses are critical drivers in this process, typically triggered by epithelial lesions and the ensuing infiltration of microbiota into the interstitial layer. Here, we focus on the pro-inflammatory state of the interstitial fibroblasts, which promotes immune infiltration and augme",https://pubmed.ncbi.nlm.nih.gov/42239394/,PubMed
The ,"Boswinkle Kaleb, Roehling Paige N, Narakorn Jasmine",bioRxiv : the preprint server for biology,2026-06-04,"tRNA wobble base uridines are heavily modified to influence anticodon:codon base pairing and tune the structure of the anticodon stem loop for efficient and accurate translation. Both Gram-positive and negative bacteria, as well as certain archaea, modify wobble uridines to contain either a 5-carboxymethylaminomethyl (cmnm  Transfer RNA (tRNA) molecules serve as critical components in protein synt",https://pubmed.ncbi.nlm.nih.gov/42239373/,PubMed
Multiomic State-Transitions Reveal Post-Treatment Transcriptome Desynchronization in Acute Myeloid Leukemia.,"Rangel Ambriz Jennifer, Chen Ziang, Fu Yu-Hsuan",bioRxiv : the preprint server for biology,2026-06-04,"Temporal dynamics of the peripheral blood transcriptome are crucial for understanding leukemia evolution and response to therapy because they can reveal how gene expression programs drive abnormal cell states, disease heterogeneity, and treatment resistance. Using a mathematical model of state-transitions, we studied the temporal dynamics of peripheral blood messenger RNA (mRNA) and microRNA (miRN",https://pubmed.ncbi.nlm.nih.gov/42239338/,PubMed
SnoRNA Expression and RNA 2'-O-Methylation in ,"Ye Xuan, Liu Yaling, Olson Sara",bioRxiv : the preprint server for biology,2026-06-04,Small nucleolar RNAs (snoRNAs) are a class of non-coding RNAs that play critical roles in guiding 2'-O-methylation (Nm) and pseudouridylation modifications of RNAs. In ,https://pubmed.ncbi.nlm.nih.gov/42239319/,PubMed
Argonaute-2 slicing of ,"Almodovar Nickolas, Dunn Caroline, Kleaveland Benjamin",bioRxiv : the preprint server for biology,2026-06-04,"Argonaute (AGO) proteins associate with small guide RNAs to bind and repress mRNA targets. AGO2 is the primary AGO slicer in mammals, cleaving RNAs that base-pair extensively to its guide RNA. Disrupting the slicing activity of AGO2 in mice causes neonatal lethality, however, the specific cell types and substrates that contribute to this lethality are not known. Through a combination of genetic, h",https://pubmed.ncbi.nlm.nih.gov/42239312/,PubMed
Isoform-Specific Localization Diversifies Human MSI2 Function.,"Walters Kathryn, Koertel Nadine, Baldwin Amber",bioRxiv : the preprint server for biology,2026-06-04,"Musashi-2 (MSI2) is an RNA-binding protein implicated in stem cell regulation and cancer, yet reports of its regulatory activity span translational activation, repression, and effects on mRNA stability, sometimes within the same cellular context. The basis for this diversity has remained unclear. Here, we identify alternative splicing as a determinant of MSI2 regulatory activity, acting through is",https://pubmed.ncbi.nlm.nih.gov/42239307/,PubMed
Lung surfactants as a component of lipid nanoparticles for pulmonary mRNA delivery.,"Nasr Sarah S, Tabah Owen E, Kumar Sahana",bioRxiv : the preprint server for biology,2026-06-04,"Pulmonary delivery of lipid nanoparticles (LNPs) remains an area of significant interest, given the broad range of genetic disorders that could be addressed through localized administration of therapeutic nucleic acids to the lung. In this study, we investigated how incorporation of the clinically used lung surfactant cocktail Poractant alfa affects the ",https://pubmed.ncbi.nlm.nih.gov/42239299/,PubMed
SOX9 and SEMA7A regulate cell plasticity in the postpartum mammary gland with implications for breast cancer.,"Cozzens Lauren M, Hinckley Brendan, Elder Alan M",bioRxiv : the preprint server for biology,2026-06-04,"Postpartum mammary gland involution is a coordinated process of cell death and remodeling that returns the tissue to a near pre-pregnant state following lactation and weaning. In models of postpartum breast cancer, defined as breast cancer diagnosed in women under age 45 and within 10 years of recent childbirth, involution induces durable phenotypes in breast tumor cells that promote progression a",https://pubmed.ncbi.nlm.nih.gov/42239249/,PubMed
Differential mRNA localization of karyopherin-β2 homologs in ,"Basu Ambika, Tayefeh Nora, Winkenbach Lindsay P",bioRxiv : the preprint server for biology,2026-06-04,In ,https://pubmed.ncbi.nlm.nih.gov/42239225/,PubMed
The retroelement-derived human protein PEG10 is a regulator of mRNA splicing in neurons.,"Matthews A M, Whiteley A M",bioRxiv : the preprint server for biology,2026-06-04,"Retroelements, including retrotransposons, endogenous retroviruses, and their fragments, as well as rare co-opted or domesticated retroelements, can contribute to neurodegenerative disorders and aging through modulation of gene expression and induction of neuroinflammation. Paternally Expressed Gene 10 (PEG10) is a retroelement-derived human gene that has recently been identified as a putative dri",https://pubmed.ncbi.nlm.nih.gov/42239172/,PubMed
Non-enzymatic RNA Glycation is a Metabolic Sensor of Cellular Stress.,"Knörlein Anna, Nishikawa Kaila, Kitamura Naoya",bioRxiv : the preprint server for biology,2026-06-04,"Non-enzymatic RNA modifications expand the epitranscriptome, encoding a rapid and chemistry-driven response to cellular stress. While methylglyoxal, a reactive glycolytic byproduct of metabolic stress, has been shown to modify proteins and DNA, its impact on RNA has remained unexplored. Here, we identify mRNA as a dynamic substrate of MGO, whose modification is actively regulated by DJ-1 and the g",https://pubmed.ncbi.nlm.nih.gov/42239126/,PubMed
The single nucleotide polymorphism rs1053230 modulates kynurenine 3-monooxygenase stability and is associated with cognitive and mood phenotypes.,"Collier Mary E W, Ceeney Georgia, Chiappelli Joshua",bioRxiv : the preprint server for biology,2026-06-04,"The single nucleotide polymorphism (SNP) rs1053230 within the kynurenine 3-monooxygenase (  Here we performed the first  HEK293T cells expressing KMO-Arg452 or KMO-Cys452 with a red fluorescent protein (RFP) tag produced equivalent levels of KMO mRNA, protein and enzymatic activity, and localised to mitochondria to the same extent. However, cycloheximide-mediated inhibition of protein translation ",https://pubmed.ncbi.nlm.nih.gov/42239117/,PubMed
Chitosan-Tripolyphosphate Nanoparticles Enhance Foliar dsRNA Delivery and Suppress Turnip Crinkle Virus in Arabidopsis.,"Kim Min-Jae, Kim Nam-Yeon, Jeong Rae-Dong",The plant pathology journal,2026-06-04,"Topically applied double-stranded RNA (dsRNA) can trigger antiviral RNA interference in plants, but naked dsRNA is unstable and poorly taken up after foliar application. Here, we developed an eco-friendly chitosan- tripolyphosphate (CS-TPP) nanocarrier to enhance dsRNA delivery using turnip crinkle virus (TCV) as a model and tested it in Arabidopsis thaliana. A dsRNA targeting the TCV-coat protein",https://pubmed.ncbi.nlm.nih.gov/42237611/,PubMed
RNAi targeting ABCB1-like efflux transporters improves miticide efficacy in resistant Varroa mites.,"Ricigliano Vincent A, Fine Julia D, Mueller Rebecca",Parasites & vectors,2026-06-04,"The ectoparasitic mite Varroa destructor is the gravest threat to managed honeybees, and its control relies on a limited number of chemical miticides. Among these, amitraz is widely used because of its strong efficacy against mites and relatively low toxicity to bees. However, increasing resistance to amitraz in Varroa populations threatens its long-term effectiveness. While mutations in the mite'",https://pubmed.ncbi.nlm.nih.gov/42237131/,PubMed
Natural small RNA-based defense informs engineering of host-induced gene silencing in plant disease resistance.,"Koch Benjamin L, Qi Fan, Fang Xiaodong",Current opinion in biotechnology,2026-06-04,"Host-induced gene silencing (HIGS) is a crop protection strategy that exploits RNA interference (RNAi) to silence targeted genes in invading pathogens or pests and reduce disease. Despite some successful examples of HIGS in laboratory settings, its translation into commercial agriculture has been limited. Recent discoveries demonstrating that plants deploy specific endogenous small RNAs (sRNAs) to",https://pubmed.ncbi.nlm.nih.gov/42235105/,PubMed
Bacterial domain fusion drives biomineralization innovation in ,"Wu Keke, Chen Wenyu, Fan Chenghu",mBio,2026-06-04,"Mineralized external structures have evolved independently across unicellular eukaryotes. Within the phylum  Biomineralization is a key ecological trait, yet its genomic basis in early-branching eukaryotes remains largely elusive. Here, we establish the ciliate family ",https://pubmed.ncbi.nlm.nih.gov/42233672/,PubMed
Spray-induced gene silencing for plant disease control: mechanistic basis and deployment-oriented design.,"Mannaa Mohamed, Kil Eui-Joon, Park Inmyoung",Frontiers in plant science,2026-06-04,"Spray-induced gene silencing (SIGS) is a transgene-free, biodegradable RNA-based approach for crop protection in which exogenously applied double-stranded RNA (dsRNA) is taken up and processed by plants or susceptible pathogens to drive the sequence-specific silencing of essential or virulence-associated genes. This review synthesizes advancements in transitioning SIGS from proof-of-concept to fie",https://pubmed.ncbi.nlm.nih.gov/42231891/,PubMed
EGFR-Targeted RNA-Exosome Nanoparticles Delivering Paclitaxel Suppress Colorectal Cancer via PRELP Upregulation.,"Li QingHan, Ji Yong, Zhen ZuoJun","Journal of biomedical materials research. Part B, Applied biomaterials",2026-06-04,"Targeted drug delivery remains a major challenge in the treatment of colorectal cancer (CRC), particularly in overcoming tumor immune evasion. Exosome-based nanocarriers have shown considerable promise due to their tumor-targeting capability and immunomodulatory potential. In this study, EGFR-targeted RNA-exosome composite paclitaxel (PTX) nanoparticles (RNA-Exo-PTX) were constructed and character",https://pubmed.ncbi.nlm.nih.gov/42231753/,PubMed
Integrin α6 functions as an immune recognition receptor for PirAB,"Xiao Bang, Wang Yue, Kang Fang",International journal of biological macromolecules,2026-06-04,"Acute hepatopancreatic necrosis disease (AHPND), caused by Vibrio parahaemolyticus strains harboring the virulence genes PirA and PirB (PirAB",https://pubmed.ncbi.nlm.nih.gov/42229654/,PubMed
Evolutionary conservation of heat shock proteins in Blattodea and their roles in wing morphogenesis and ovarian development of Blattella germanica.,"Shi Zengzeng, Zhang Ke, Cao Zhikuo","Comparative biochemistry and physiology. Part D, Genomics & proteomics",2026-06-04,"Heat shock proteins (Hsps) are essential molecular chaperones for protein homeostasis and stress responses. However, the Hsp repertoires and functions in Blattodea remain underexplored. Our genome-scale survey of nine Blattodea species revealed 37-46 conserved Hsp90, Hsp70, and DNAJ (Hsp40) genes, with DNAJ the most abundant and Hsp90 the least. Phylogenetic analysis confirmed the evolutionary con",https://pubmed.ncbi.nlm.nih.gov/42229281/,PubMed
The Antiviral Response in Insect Vectors: Immune Mechanisms and Implications for Disease Control.,"Kumar Vikas, Maringer Kevin, Rückert Claudia",Annual review of virology,2026-06-04,"Insect vectors use a range of antiviral responses that influence their ability to acquire, replicate, and transmit human, animal, and plant viruses. Advances in comparative genomics, systems biology, transgenic tools, and single-cell profiling have identified both conserved immune frameworks and substantial divergence in antiviral strategies across vector and nonvector insects. This review examine",https://pubmed.ncbi.nlm.nih.gov/42228874/,PubMed
Comparative evaluation of chitosan-based and star polycation nanocarriers for enhanced RNAi efficacy targeting CmFibL in Cnaphalocrocis medinalis.,"Mo Qiyao, Xie Jing, Yang Qi",Pest management science,2026-06-04,"The rice leaf folder, Cnaphalocrocis medinalis, causes substantial rice yield losses through larval leaf-rolling behavior. RNA interference (RNAi) offers a sustainable alternative, but its application in Lepidoptera is hindered by dsRNA degradation and poor cellular uptake. This study developed nanocarrier-mediated dsRNA delivery to overcome these limitations. Three nanocarriers - chitosan (CS), c",https://pubmed.ncbi.nlm.nih.gov/42226280/,PubMed
