title,authors,journal,date,abstract,link,source
METTL3-Mediated m6A Modification of COL5A2 Inhibits Ferroptosis Through an IGF2BP3-dependent Mechanism in Gastric Cancer.,"Xin Guo, Shuang Li, Yuying Guo",Technology in cancer research & treatment,2026-08-28,"IntroductionMETTL3, the core enzyme of m6A methylation, influences gastric cancer (GC) progression, but its role in ferroptosis remains unclear. This study investigated the regulatory role of METTL3 in GC ferroptosis and its underlying mechanism via the downstream target gene collagen type V alpha 2 chain(COL5A2).MethodGC cell lines (AGS, MKN-45) and normal GES-1 cells were used. Ferroptosis was i",https://pubmed.ncbi.nlm.nih.gov/42663553/,PubMed
lncRNA ,"Wei Ya-Dong, Chen Peng-Quan, Zheng Xin",International journal of molecular medicine,2026-08-28,"A close relationship exists between excessive lipids and structural and functional brain dysfunction, with the long non‑coding (lncRNA)‑microRNA (miR)‑mRNA network having an emerging role. Given the increasingly recognized role of the lncRNA taurine upregulated gene 1 (",https://pubmed.ncbi.nlm.nih.gov/42663279/,PubMed
SANS ankyrin repeats mediate non-classical nuclear import and dictate distinct pathogenic mechanisms.,"Yan Wenxia, Chen Guanhao, Wang Liping",The FEBS journal,2026-08-28,"Mutations in the USH1G gene, which encodes the scaffold protein SANS, cause type-I Usher syndrome, a severe inherited disorder involving both hearing and vision loss. Although SANS has been implicated in nuclear pre-mRNA splicing, the molecular determinants of its nuclear import and their relevance to USH1G pathogenesis remain incompletely understood. Here, we report high-resolution crystal struct",https://pubmed.ncbi.nlm.nih.gov/42663068/,PubMed
Codon-optimized ,"Koufer Ellen R, Townsend Alice, Na Youngseo",Molecular therapy. Nucleic acids,2026-08-28,Niemann-Pick type C1 disease is a lysosomal storage disorder caused by mutations in the ,https://pubmed.ncbi.nlm.nih.gov/42662950/,PubMed
ESCRT-I complex enhances therapeutic efficacy of ASO drugs by regulating endosomal escape and glucose homeostasis.,"Nguyen Le Tra Giang, Tawfik Sherouk M, Jin Jing",Molecular therapy. Nucleic acids,2026-08-28,"Antisense oligonucleotide (ASO) therapeutics silence gene expression through RNase H-mediated mRNA degradation or steric blockade, yet their clinical efficacy is limited by inefficient intracellular trafficking, with <1% of internalized ASOs escaping endosomes to access target RNA. A deeper understanding of the cellular mechanisms governing ASO trafficking and activity is therefore critical. Here,",https://pubmed.ncbi.nlm.nih.gov/42662926/,PubMed
Delivering the blueprint: Advances and challenges in mRNA therapeutics for the respiratory system.,"Jia Fangru, Ma Linlin, Li Yanan",International journal of pharmaceutics: X,2026-08-28,"The success of mRNA vaccines has established lipid nanoparticles (LNPs) as a clinically validated delivery platform, yet their application to pulmonary therapeutics presents formidable challenges. This review systematically summarizes the mechanisms, delivery methods, key challenges, safety considerations, and translational gaps associated with mRNA-LNP therapeutics for pulmonary disorders. It sur",https://pubmed.ncbi.nlm.nih.gov/42662466/,PubMed
Platelet miR-144-5p regulates COX-1/2 expression and modulates aspirin response in patients with cardiometabolic risk.,"Simeone Paola G, Liani Rossella, Abbonante Vittorio","Blood vessels, thrombosis & hemostasis",2026-08-28,"Interindividual variability in response to low-dose aspirin (acetylsalicylic acid; ASA) contributes to residual platelet activation and thrombotic risk. Platelet microRNAs (miRNAs) may modulate ASA pharmacodynamics, but their mechanistic role remains unclear. We investigated whether platelet miR-144-5p regulates cyclooxygenase 1/2 (COX-1/2) expression and modulates ASA response in patients with ca",https://pubmed.ncbi.nlm.nih.gov/42662398/,PubMed
Antisense oligonucleotide selection scheme for rare Duchenne muscular dystrophy mutations: Application to ,"Geoffroy-Guiraud Marine, Beley Cyriaque, Campuzano Stephany",Molecular therapy. Nucleic acids,2026-08-28,"Over the last decades, antisense oligonucleotides (AONs) have emerged as powerful tools to modulate alternative splicing, allowing exclusion of a specific exon from a target mRNA to bypass mutations or restore the reading frame, enabling production of a functional protein. In Duchenne muscular dystrophy (DMD), a lethal X-linked disorder affecting 1:5,000 males, four AON therapies have received acc",https://pubmed.ncbi.nlm.nih.gov/42662226/,PubMed
TNS1/TAGLN-enriched endometrial stromal cells is associated with a persistent fibrotic microenvironment in intrauterine adhesion.,"Tang Li, Li Yutang, Chen Siyao",Frontiers in cell and developmental biology,2026-08-28,"Intrauterine adhesion arise from aberrant repair and fibrotic remodeling after basal endometrial injury. Hysteroscopic adhesiolysis remains the standard treatment, yet postoperative recurrence stays high and durable preventive strategies remain limited. Most studies analyze IUA at the tissue level or in mixed cell populations, leaving the key pathological states and regulatory nodes of endometrial",https://pubmed.ncbi.nlm.nih.gov/42661780/,PubMed
Human beta defensins 3 and 6 serve as diagnostic tools for identifying sepsis and pneumonia.,"Almansour Nourah, Al-Rashed Fatema, Kochumon Shihab",Frontiers in immunology,2026-08-28,"Sepsis poses significant challenges in early detection and treatment due to its heterogeneous nature and overlaps with other conditions, such as pneumonia. Identifying reliable biomarkers is crucial for intervention and outcomes. A total of 190 adults, aged 18 years and above, categorized into four groups: sepsis (n=50), pneumonia (n=53), pneumonia with sepsis (n=34), and healthy controls (n=53). ",https://pubmed.ncbi.nlm.nih.gov/42661652/,PubMed
