title,authors,journal,date,abstract,link,source
"Research Progress on Tumor Microenvironment-Responsive siRNA Nanocarriers: Design Strategies, Delivery Efficiency, and Future Perspectives.","Zhu Xiaoxi, Zhang Gong, Li Lin",International journal of nanomedicine,2026-09-06,"Gene silencing by RNA interference (RNAi) has emerged as a promising strategy for cancer therapy. Small interfering RNA (siRNA), a class of small regulatory RNAs that recognize and degrade complementary target messenger RNAs (mRNAs) in a sequence-specific manner at the post-transcriptional level, plays a critical role in regulating gene expression. However, the in vivo delivery of siRNA remains a ",https://pubmed.ncbi.nlm.nih.gov/42701815/,PubMed
Ribosome engineering enhances genetic code expansion in ,"Chen Xiaoxu, Shen Wenlu, Chen Xianqing",Synthetic and systems biotechnology,2026-09-06,"Genetic code expansion enables the site-specific installation of noncanonical amino acids (ncAAs) into proteins, but its limited efficiency in eukaryotes remains a major barrier to broader application. Here we establish a visual, plug-and-play screening platform to evolve 18S ribosomal DNA in ",https://pubmed.ncbi.nlm.nih.gov/42701464/,PubMed
Unraveling berberine's multi-target mechanism in combating early-stage masld: a network pharmacology and in vitro study.,"Wei Shenglong, He Huajie, Xie Yong",Cytotechnology,2026-09-06,"Metabolic dysfunction-associated steatotic liver disease (MASLD) poses a global health burden with limited therapies. Berberine (BBR) shows promise against MASLD, but its molecular mechanisms remain unclear. Network pharmacology predicted BBR-MASLD intersecting targets, followed by protein-protein interaction (PPI) network construction, GO/KEGG enrichment, and molecular docking. In vitro validatio",https://pubmed.ncbi.nlm.nih.gov/42701344/,PubMed
Differential isoform-specific control of KCC2 function in developing and mature cortical neurons.,"Pagan Carla, Weinzettl Pauline, Markkanen Marika A",EMBO reports,2026-09-06,"The K-Cl cotransporter KCC2 is essential for fast synaptic inhibition in the mature brain. It is encoded by a single gene and expressed as two isoforms: KCC2a and KCC2b, which differ in their N-terminal domains. While KCC2b is predominant, the function of the weakly expressed KCC2a isoform remains unclear. Here, we reveal that KCC2a is a potent, bidirectional regulator of KCC2b membrane stability ",https://pubmed.ncbi.nlm.nih.gov/42701150/,PubMed
Cancer vaccines as targeted therapies: translational advances and challenges.,"Shafaghat Zahra, Sadri Maryam, Roozbehani Mona",Immunotherapy,2026-09-06,"Cancer vaccines represent a promising class of immunotherapeutic agents with potential applications in cancer prevention and treatment. By eliciting tumor-specific immune responses, these vaccines may offer durable protection against tumor progression, recurrence, and metastasis while minimizing off-target toxicity associated with conventional therapies. In addition, activation of adaptive immunit",https://pubmed.ncbi.nlm.nih.gov/42701036/,PubMed
Nsp1 from divergent coronaviruses has conserved endonuclease activity.,"Vetick Michael, Balaji Shravani, Henry Shannon",Journal of molecular biology,2026-09-06,"All alpha- and beta-coronaviruses encode nonstructural protein 1 (Nsp1), a major virulence factor that restricts host gene expression. Herein, using Nsp1 from divergent alpha- and beta-coronaviruses (SARS-CoV-2, MERS-CoV, and HCoV-229E), we reveal all tested coronavirus Nsp1 proteins have intrinsic endonuclease activity. Furthermore, this endonuclease function is abolished when a conserved arginin",https://pubmed.ncbi.nlm.nih.gov/42700842/,PubMed
GIN-CRC-Pareto: A graph-based pareto-optimized multi-task learning framework to identify miRNA-target interactions in colorectal cancer.,"Li Lin, Yang Qiang, Li Lu",Journal of biomedical informatics,2026-09-06,Colorectal cancer (CRC) ranks as the third highest incidence among malignancies for human and the second most common cause of cancer-related mortality in the United States. Accumulating evidence has established microRNAs (miRNAs) as critical regulators of cancer development and therapeutic response. Understanding miRNA-mRNA interactions is critical for elucidating the molecular mechanisms driving ,https://pubmed.ncbi.nlm.nih.gov/42700827/,PubMed
Excess iron disturbs intestinal stem cell homeostasis via Wnt/Notch signaling in suckling rats.,"Qiu Lili, Xiong Wei, Hu Mengxiao",The Journal of nutrition,2026-09-06,"Excessive iron may adversely affect intestinal health, particularly the immature intestine of infants. The mechanism of high iron intake affecting intestine in infants remains unclear. This study aims to investigate the effects of high iron supplementation on intestinal stem cells (ISCs) function in infant rats. Suckling rats aged 2 days were supplemented with iron at doses of 10, 20, 30, 40, 50, ",https://pubmed.ncbi.nlm.nih.gov/42700816/,PubMed
Mechanism of cancer-associated fibroblasts-derived exosomes-shuttled snail regulating the SOCS6/HIF-1α axis to promote pancreatic cancer stemness and gemcitabine resistance.,"Luo Zhen, Hu Yuqin, Li Jian",Cellular signalling,2026-09-06,Cancer-associated fibroblasts (CAFs) contribute to pancreatic cancer (PC) progression and therapeutic resistance. This study investigated whether CAF-derived exosomes (CAF-exo)-promote PC cell stemness and gemcitabine (GEM) resistance by delivering Snail and regulating the suppressor of cytokine signaling 6/hypoxia-inducible factor-1α (SOCS6/HIF-1α) axis. Tumors and paired adjacent tissues from pa,https://pubmed.ncbi.nlm.nih.gov/42700784/,PubMed
Improving intradermal dosing consistency in mice using a hollow microneedle: A model study with a SARS-CoV-2 mRNA vaccine.,"Onishi Shintaro, Suzuki Yuta, Sugimoto Koki",Vaccine,2026-09-06,"Intradermal vaccination can enhance immune responses, yet reproducible intradermal injection remains technically challenging, particularly for hollow microneedle delivery. Herein, using a mouse model, we aimed to establish a preclinical platform that enables more consistent intradermal vaccine delivery. We quantified age-dependent changes in mouse dorsal skin thickness and developed a pinch-type a",https://pubmed.ncbi.nlm.nih.gov/42700750/,PubMed
