title,authors,journal,date,abstract,link,source
An Erythroid Gene Expression Signature in Preoperative Whole-Blood RNA-Seq Associated with Rebound Pain After Brachial Plexus Block: A Prospective Observational Study.,"Zhou Dongxu, Liu Fan, Gong Xingrui",Journal of pain research,2026-06-10,"Preoperative whole-blood transcriptomic profiles may reflect systemic biological variation before surgery, but their association with rebound pain after brachial plexus block remains unclear. This study investigated whether preoperative whole-blood transcriptomic profiles are associated with pain escalation after brachial plexus block resolution. This single center prospective study enrolled patie",https://pubmed.ncbi.nlm.nih.gov/42267148/,PubMed
Multi-omics analysis identifies gut microbiota-glutamine axis contributing to the pathogenesis of reflux esophagitis.,"Wu Yu, Gao Qi, Yang Huichao",Frontiers in microbiology,2026-06-10,"Reflux esophagitis (RE), a common gastroesophageal reflux disease characterized by esophageal mucosal inflammation, is closely associated with gut microbiota dysbiosis and metabolic abnormalities. The glutamine-glutamate metabolic pathway regulates inflammation and mucosal barrier function, but its role in RE and association with gut microbiota remain unclear. This study aimed to characterize gut ",https://pubmed.ncbi.nlm.nih.gov/42267106/,PubMed
MOTS-c partially protects against skeletal muscle deterioration in C26 cachexia.,"Jamnick Nicholas A, Livingston Patrick D, Gammon Caleb J",Frontiers in medicine,2026-06-10,"Cancer cachexia is a multifactorial metabolic syndrome marked by progressive skeletal muscle loss, reduced function, and increased mortality. Mitochondrial dysfunction is a key driver of this phenotype. MOTS-c, a mitochondrial-derived peptide that regulates metabolic homeostasis and mimics exercise signaling, may counteract cachexia, but its role remains largely unexplored, and human studies using",https://pubmed.ncbi.nlm.nih.gov/42266945/,PubMed
Effects of Total Flavonoids From ,"Peng Mengfan, Liu Baosong, Cao Lanyue",Food science & nutrition,2026-06-10,"Polycystic ovary syndrome (PCOS) is a common reproductive disorder in women of childbearing age, posing serious risks to both physical and mental health. Dysregulation of the hypothalamic-pituitary-ovarian (HPO) axis and inflammatory responses are key pathological mechanisms, yet there are currently no specific therapeutic drugs available. Therefore, this study investigates the ameliorative effect",https://pubmed.ncbi.nlm.nih.gov/42266887/,PubMed
GTPBP4 promotes colorectal cancer cell proliferation by positively regulating MYC-driven glycolytic metabolism.,"Zhao Kai, Wei Jiayu, Shen Ying",American journal of cancer research,2026-06-10,"Colorectal cancer remains a leading cause of cancer death globally, creating an urgent need for novel therapeutic targets. Here, we investigate the expression, function, and regulatory mechanism of GTP-binding protein 4 (GTPBP4) in colorectal cancer. Analysis of The Cancer Genome Atlas (TCGA) colon adenocarcinoma (COAD) dataset showed that GTPBP4 is upregulated in colorectal tumors relative to nor",https://pubmed.ncbi.nlm.nih.gov/42266748/,PubMed
Paeonol inhibits prostate cancer progression via the miR-145-5p/GOLM1 axis.,Zhang Yingxin,American journal of cancer research,2026-06-10,"Paeonol, derived from ",https://pubmed.ncbi.nlm.nih.gov/42266740/,PubMed
Time-restricted feeding counters brown adipose tissue whitening and inflammation in obese mice under chronic light exposure.,"Oh Eunse, Nah Ji Yeon, Yun Narae",Nutrition research and practice,2026-06-10,"Time-restricted feeding (TRF) is a promising dietary strategy to improve the metabolic parameters associated with obesity, but its potential benefits in obesity linked to nighttime light exposure remain largely unclear. This study examined whether chronic light exposure alone, or in combination with TRF, modulates brown adipose tissue (BAT) in lean and obese mice. Six-week-old male C57BL/6J mice w",https://pubmed.ncbi.nlm.nih.gov/42266730/,PubMed
"Integrating network pharmacology, molecular docking and experimental verification to explore the therapeutic effect of piceatannol on rheumatoid arthritis.","Yang Mingyi, Ren Honghao, Xu Peng",Frontiers in immunology,2026-06-10,Piceatannol (PIC) exhibits antioxidant and anti-inflammatory activities. This study integrates network pharmacology and experimental validation to investigate its potential role in rheumatoid arthritis (RA). PIC targets were predicted using public databases. RA-related differentially expressed genes (DEGs) were identified from Gene Expression Omnibus (GEO) datasets (|logFC| ≥ 1 and P-value < 0.05),https://pubmed.ncbi.nlm.nih.gov/42266693/,PubMed
Multi-cohort transcriptomics integration for building and validating a diagnostic model of peripheral blood septic shock.,"Li Ling, Li Kexun, Qian Weiwei",Frontiers in immunology,2026-06-10,"To integrate multi-cohort transcriptomic, single-cell, and experimental data to identify diagnostic signature genes for septic shock, establish a peripheral blood molecular diagnostic model, and elucidate the m6A regulatory mechanisms of key genes. Candidate genes were identified from five GEO peripheral blood cohorts through batch effect-corrected differential expression analysis and WGCNA, follo",https://pubmed.ncbi.nlm.nih.gov/42266692/,PubMed
Enhancing targeted strategies for cancer immunotherapy by elucidating mRNA processing mechanisms.,"Lu Xiao, Gan Wenwen, Yuan Jiang",Frontiers in immunology,2026-06-10,"Immune checkpoint inhibitors have transformed the landscape of cancer therapy; however, the challenge that most patients do not achieve durable benefits urgently necessitates the development of new strategies that extend beyond mere T-cell activation. mRNA processing-comprising alternative splicing, RNA modifications, and RNA editing-establishes a dynamically regulated connection between the intri",https://pubmed.ncbi.nlm.nih.gov/42266677/,PubMed
Clinical and genetic analysis of PRRT2 gene mutations in a cohort of 21 pediatric patients: a case series.,"Zheng Xiaolan, Lin Caimei",Frontiers in pediatrics,2026-06-10,"The Proline-Rich Transmembrane Protein 2 (PRRT2) gene is associated with a spectrum of autosomal dominant paroxysmal disorders, including Benign Familial Infantile Epilepsy (BFIE), Paroxysmal Kinesigenic Dyskinesia (PKD), and Hemiplegic Migraine (HM). However, the correlation between specific mutation types and clinical phenotypes, particularly for rare variants, remains to be fully elucidated. We",https://pubmed.ncbi.nlm.nih.gov/42266542/,PubMed
MCVAE-based multi-omic anomaly detection in Fragile X Syndrome.,"Khatir Wassila, Lorenzi Marco, Balelli Irene",NAR molecular medicine,2026-06-10,Fragile X Syndrome (FXS) is a neurodevelopmental disorder caused by mutations in the ,https://pubmed.ncbi.nlm.nih.gov/42266503/,PubMed
Peptides as programmable molecular scaffolds: from chemical synthesis and engineering to translational medicine.,"Yuan Shaoren, Kaur Baljit, Fuchs Natalie S",RSC chemical biology,2026-06-10,"Peptides have evolved from naturally occurring ligands and classical hormones into a versatile and engineerable class of functional molecules. This review provides a comprehensive overview of the technological advances that collectively enable programmable peptide engineering across the entire discovery-to-development pipeline. We first discuss innovations in automated flow synthesis, chemoselecti",https://pubmed.ncbi.nlm.nih.gov/42266449/,PubMed
The Protein Phosphatase Inhibitor LB100 Targets the Mesenchymal Lineage of Pancreatic Ductal Adenocarcinoma.,"Murr Janine, Schneider Carolin, Duan Ningjun",MedComm,2026-06-10,"Pancreatic ductal adenocarcinoma (PDAC) remains a therapeutic challenge, and the aggressive basal-like/mesenchymal subtype is particularly refractory to chemotherapy, underscoring the need for novel therapies. Leveraging genetic screens, we identified protein phosphatase 2A (PP2A) catalytic subunit PPP2CA as a target. Pharmacological PP2A inhibition selectively impaired the growth of mesenchymal P",https://pubmed.ncbi.nlm.nih.gov/42266180/,PubMed
Carboxylesterase 1 contributes to the human macrophage alternative activation response to Th2 cytokine interleukin-4.,"Ross Matthew K, Borazjani Abdolsamad, Thrash Hannah L",Journal of leukocyte biology,2026-06-10,Carboxylesterase 1 (CES1) is a hydrolytic enzyme with roles in xenobiotic and lipid metabolism. Our previous studies suggested a novel role for CES1 in the regulation of macrophage gene expression following exposure to inflammatory molecules. The nuclear receptor PPARγ has an important role in the M(IL-4) polarization response. Here we investigated CES1 in human primary macrophages and THP-1 macro,https://pubmed.ncbi.nlm.nih.gov/42266147/,PubMed
Comparable Neutralizing Antibody Responses Following JN.1 and KP.2-Based COVID-19 Vaccination Suggest Limited Added Value of Minor Strain Updates: A Multicentre Immunogenicity Study.,"Pracher Lena, Wahedi Mastura, Jorda Anselm",Influenza and other respiratory viruses,2026-06-10,"COVID-19 vaccines are periodically updated to address SARS-CoV-2 evolution. Whether minor antigen changes provide immunological or even clinical benefit remains unclear. This study compared neutralizing antibody responses following vaccination with the JN.1-based or KP.2-based 2024/25 Pfizer-BioNTech mRNA vaccine. Adults aged 18-64 years who received the JN.1 vaccine in Austria, or the KP.2 vaccin",https://pubmed.ncbi.nlm.nih.gov/42265879/,PubMed
Potential Relationship Between YTHDF3 and CFTR in Myocardial Ischemia-Reperfusion Injury.,"Tang Baoxin, Zhu Chenying, Wang Heqing",Journal of cellular and molecular medicine,2026-06-10,"Myocardial ischemia-reperfusion injury (MIRI) is a common pathophysiological process in reperfusion therapy following myocardial infarction. It exacerbates myocardial damage and negatively impacts patient prognosis. This study aims to explore potential regulatory targets and related mechanisms in MIRI. Using the GSE123342 dataset, differentially expressed genes (DEGs) related to myocardial infarct",https://pubmed.ncbi.nlm.nih.gov/42265766/,PubMed
Dysregulation of neurovascular unit in the retina after optic nerve injury.,"Wu Qiong, Wang Hui, Liu HongJuan",BMC ophthalmology,2026-06-10,"To investigate the changes in the neurovascular unit (NVU) of the retina in rats following optic nerve (ON) injury, and to explore the translational implications for traumatic optic neuropathy (TON). The ON transverse quantitative traction (ONTQT) was performed to establish the model of ON and retinal injury. The rats were divided into the sham operation group (SG) and the model group (MG). At 14t",https://pubmed.ncbi.nlm.nih.gov/42265670/,PubMed
Differential expression of Musashi 2 in single and double corpus luteum of hybrid Mongolian sheep.,"Qinqin Hao, Penghui Li, Hefeng Zhu",BMC genomics,2026-06-10,"This study aimed to investigate the differential expression of Musashi 2 (MSI2) in the single and double corpus lutea of Mongolian sheep (Xing'an black sheep) and its role in multiparity. Results showed two synonymous SNPs identified in the exons of MSI2. MSI2 was co-localized with GDF9/BMP15 in follicles and corpus lutea. MSI2 expression was significantly higher in single corpus luteum, whereas G",https://pubmed.ncbi.nlm.nih.gov/42265580/,PubMed
In vivo generation of fibrolytic macrophages via LNP-CSF1 mRNA attenuates liver fibrosis.,"Cao Xiaoyue, Shao Mingyang, Su Shiqi",Journal of nanobiotechnology,2026-06-10,"Liver fibrosis, a common consequence of chronic liver injury, imposes a substantial global health burden. While autologous infusion of ex vivo-induced macrophages has shown therapeutic potential, such cell-based strategies remain limited by high costs and operational complexity, underscoring the necessity for non-cellular alternatives. Here, we aim to directly generate therapeutic macrophages with",https://pubmed.ncbi.nlm.nih.gov/42265549/,PubMed
mRNAutilus: Multi-Objective-Guided Discrete Generation of mRNA with Optimized Therapeutic Properties,"Sawan Patel, Sophia Tang, Yesol Kim",arXiv,2026-06-10,"Therapeutic mRNA design requires coordinating multiple interacting sequence features across the full transcript, where codon usage, untranslated regions (UTRs), and their coupling jointly determine stability, translation efficiency, and protein expression. Here, we present mRNA generation via unrolled trajectories and informed latent updates (mRNAutilus), a framework for simultaneous codon optimiz",http://arxiv.org/abs/2605.31296v1,arXiv
Sampling-based Continuous Optimization for Messenger RNA Design,"Feipeng Yue, Ning Dai, Wei Yu Tang",arXiv,2026-06-10,"Designing messenger RNA (mRNA) sequences for a fixed target protein requires searching an exponentially large synonymous space while optimizing properties that affect stability and downstream performance. This is challenging because practical mRNA design involves multiple coupled objectives beyond classical folding criteria, and different applications prefer different trade-offs. We propose a gene",http://arxiv.org/abs/2603.06559v1,arXiv
Drug-like antibodies with low immunogenicity in human panels designed with Latent-X2," Latent Labs Team, Henry Kenlay, Daniella Pretorius",arXiv,2026-06-10,"Drug discovery has long sought computational systems capable of designing drug-like molecules directly: developable and non-immunogenic from the start. Here we introduce Latent-X2, a frontier generative model that achieves this goal through zero-shot design of antibodies with strong binding affinities, drug-like properties, and, for the first time for any de novo generated antibody, confirmed low ",http://arxiv.org/abs/2512.20263v1,arXiv
"RNAGenScape: Property-Guided, Optimized Generation of mRNA Sequences with Manifold Langevin Dynamics","Danqi Liao, Chen Liu, Xingzhi Sun",arXiv,2026-06-10,"Generating property-optimized mRNA sequences is central to applications such as vaccine design and protein replacement therapy, but remains challenging due to limited data, complex sequence-function relationships, and the narrow space of biologically viable sequences. Generative methods that drift away from the data manifold can yield sequences that fail to fold, translate poorly, or are otherwise",http://arxiv.org/abs/2510.24736v3,arXiv
Yeast growth is controlled by the proportional scaling of mRNA and ribosome concentrations,"Xin Gao, Michael Lanz, Rosslyn Grosely",arXiv,2026-06-10,"Despite growth being fundamental to all aspects of cell biology, we do not yet know its organizing principles in eukaryotic cells. Classic models derived from the bacteria E. coli posit that protein-synthesis rates are set by mass-action collisions between charged tRNAs produced by metabolic enzymes and mRNA-bound ribosomes. These models show that faster growth is achieved by simultaneously raisin",http://arxiv.org/abs/2508.14997v1,arXiv
mRNA Folding Algorithms for Structure and Codon Optimization,"Max Ward, Mary Richardson, Mihir Metkar",arXiv,2026-06-10,"mRNA technology has revolutionized vaccine development, protein replacement therapies, and cancer immunotherapies, offering rapid production and precise control over sequence and efficacy. However, the inherent instability of mRNA poses significant challenges for drug storage and distribution, particularly in resource-limited regions. Co-optimizing RNA structure and codon choice has emerged as a p",http://arxiv.org/abs/2503.19273v1,arXiv
Generative Model for Synthesizing Ionizable Lipids: A Monte Carlo Tree Search Approach,"Jingyi Zhao, Yuxuan Ou, Austin Tripp",arXiv,2026-06-10,"Ionizable lipids are essential in developing lipid nanoparticles (LNPs) for effective messenger RNA (mRNA) delivery. While traditional methods for designing new ionizable lipids are typically time-consuming, deep generative models have emerged as a powerful solution, significantly accelerating the molecular discovery process. However, a practical challenge arises as the molecular structures genera",http://arxiv.org/abs/2412.00807v1,arXiv
Machine learning framework to predict the performance of lipid nanoparticles for nucleic acid delivery,"Gaurav Kumar, Arezoo M. Ardekani",arXiv,2026-06-10,"Lipid nanoparticles (LNPs) are highly effective carriers for gene therapies, including mRNA and siRNA delivery, due to their ability to transport nucleic acids across biological membranes, low cytotoxicity, improved pharmacokinetics, and scalability. A typical approach to formulate LNPs is to establish a quantitative structure-activity relationship (QSAR) between their compositions and in vitro/in",http://arxiv.org/abs/2411.14293v1,arXiv
Joint Design of 5' Untranslated Region and Coding Sequence of mRNA,"Yang Liu, Jie Gao, Xiaonan Zhang",arXiv,2026-06-10,"Messenger RNA (mRNA) vaccines and therapeutics are emerging as powerful tools against a variety of diseases, including infectious diseases and cancer. The design of mRNA molecules, particularly the untranslated region (UTR) and coding sequence (CDS) is crucial for optimizing translation efficiency and stability. Current design approaches generally focus solely on either the 5' UTR or the CDS, whic",http://arxiv.org/abs/2410.20781v1,arXiv
Bacterial stress granule protects mRNA through ribonucleases exclusion,"Linsen Pei, Yujia Xian, Xiaodan Yan",arXiv,2026-06-10,"Membraneless droplets formed through liquid-liquid phase separation (LLPS) play a crucial role in mRNA storage, enabling organisms to swiftly respond to environmental changes. However, the mechanisms underlying mRNA integration and protection within droplets remain unclear. Here, we unravel the role of bacterial aggresomes as stress granules (SGs) in safeguarding mRNA during stress. We discovered ",http://arxiv.org/abs/2404.17873v2,arXiv
"Hypolipidemic effect of brown seaweed (Sargassum crassifolium) extract in vivo (Study of histopathology, mRNA expression, and immunohistochemistry (IHC) with VCAM-1, ICAM-1, and MCP-1 parameters)","Sarah Zaidan, Syamsudin Abdillah, Nur Arfian",arXiv,2026-06-10,The purpose of this study was to obtain natural drugs from brown seaweed (Sargassum crassifolium) as antiatherosclerosis candidates through the study of hypolipidemic mechanisms of action. Modeling of dyslipidemia rats was carried out by feeding high-fat (HFF) and doses of crude fucoidan 100. 200. 400mg / KgBB. in both treatments measured blood lipid profile levels taken from the orbital sinuses. ,http://arxiv.org/abs/2402.07497v1,arXiv
Machine Learning Modeling Of SiRNA Structure-Potency Relationship With Applications Against Sars-Cov-2 Spike Gene,Damilola Oshunyinka,arXiv,2026-06-10,"The pharmaceutical Research and development (R&D) process is lengthy and costly, taking nearly a decade to bring a new drug to the market. However, advancements in biotechnology, computational methods, and machine learning algorithms have the potential to revolutionize drug discovery, speeding up the process and improving patient outcomes. The COVID-19 pandemic has further accelerated and deepened",http://arxiv.org/abs/2401.12232v1,arXiv
Messenger RNA Design via Expected Partition Function and Continuous Optimization,"Ning Dai, Wei Yu Tang, Tianshuo Zhou",arXiv,2026-06-10,"The tasks of designing RNAs are discrete optimization problems, and several versions of these problems are NP-hard. As an alternative to commonly used local search methods, we formulate these problems as continuous optimization and develop a general framework for this optimization based on a generalization of classical partition function which we call ""expected partition function"". The basic idea ",http://arxiv.org/abs/2401.00037v2,arXiv
Machine Learning-guided Lipid Nanoparticle Design for mRNA Delivery,"Daisy Yi Ding, Yuhui Zhang, Yuan Jia",arXiv,2026-06-10,"While RNA technologies hold immense therapeutic potential in a range of applications from vaccination to gene editing, the broad implementation of these technologies is hindered by the challenge of delivering these agents effectively. Lipid nanoparticles have emerged as one of the most widely used delivery agents, but their design optimization relies on laborious and costly experimental methods. W",http://arxiv.org/abs/2308.01402v2,arXiv
Corrected Hill Function in Stochastic Gene Regulatory Networks,"Manuel Eduardo Hernández-García, Jorge Velázquez-Castro",arXiv,2026-06-10,"Describing reaction rates in stochastic bio-circuits is commonly done by directly introducing the deterministically deduced Hill function into the master equation. However, when fluctuations in enzymatic reaction rates are not neglectable, the Hill function must be derived, considering all the involved stochastic reactions. In this work, we derived the stochastic version of the Hill function from ",http://arxiv.org/abs/2307.03057v4,arXiv
Stochastic dynamics and ribosome-RNAP interactions in Transcription-Translation Coupling,"Xiangting Li, Tom Chou",arXiv,2026-06-10,"Under certain cellular conditions, transcription and mRNA translation in prokaryotes appear to be ""coupled,"" in which the formation of mRNA transcript and production of its associated protein are temporally correlated. Such transcription-translation coupling (TTC) has been evoked as a mechanism that speeds up the overall process, provides protection during the transcription, and/or regulates the t",http://arxiv.org/abs/2207.04568v1,arXiv
