title,authors,journal,date,abstract,link,source
Precise microfluidic engineering of mRNA lipid nanoparticle-loaded polycaprolactone microcapsules for sustained delivery.,"Bai Hao, Chen Baiqiu, Wang Ziyue",Journal of materials chemistry. B,2026-07-07,"mRNA therapy holds promise for treating a variety of diseases, but its clinical application faces significant challenges, including rapid degradation ",https://pubmed.ncbi.nlm.nih.gov/42411346/,PubMed
"Multi-Omics Framework Integrating Genetics, Microbiome, Metabolism, and Immunity for Deciphering Ulcerative Colitis Pathogenesis and Diagnostic Biomarker Discovery.","Wang Yiyun, Tian Yulin, Cui Hongsi",FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2026-07-07,"Ulcerative colitis (UC) is an inflammatory bowel disease involving complex interactions between genetics, gut microbiota, metabolism, and immunity. This study aimed to systematically evaluate multi-omics factors potentially associated with UC susceptibility and identify reliable diagnostic biomarkers. A two-sample Mendelian randomization (MR) framework assessed potential causal associations betwee",https://pubmed.ncbi.nlm.nih.gov/42411190/,PubMed
Advancing siRNA Therapeutics with Pharmacometrics: A Review of Modeling Approaches and Clinical Applications.,"Kang Jueun, Yim Hyeonwoo, Jeong Hyunsuk",Current gene therapy,2026-07-07,"Small interfering RNA (siRNA) therapeutics represent a paradigm shift in targeting previously undruggable diseases through specific gene silencing. Since the FDA's first approval of patisiran in 2018, the field has expanded rapidly, with eight approved drugs and numerous clinical candidates. However, the atypical pharmacokinetic-pharmacodynamic (PK-PD) profile of siRNAs, characterized by rapid pla",https://pubmed.ncbi.nlm.nih.gov/42411083/,PubMed
Ascorbic acid and biotin modulate heat shock protein mRNA expression after thawing in rat sperm.,"Yilmaz Dayanc Firdevs, Yalcin Oguz Kaan, Eraslan Sakar Aysel","Zygote (Cambridge, England)",2026-07-07,"The successful freezing of rat spermatozoa and the development of innovative cryoprotectant formulations are of great importance in the field of reproductive biotechnology. In the present study, 4 mg/mL Ascorbic acid and 20 nM Biotin were added to cryopreservation medium containing 8% lactose-monohydrate, 23% egg yolk, and 10% tris-aminomethane to investigate the freezability of rat sperm. After c",https://pubmed.ncbi.nlm.nih.gov/42410980/,PubMed
Targeting lysosomes with a novel chloroquine derivative induces irreversible lysosomal damage and disrupts autophagosome and lysosome assembly in cancer.,"Chauhan Nitish, Guha Majumdar Ananda, Bhutia Sujit Kumar",Autophagy,2026-07-07,"Pancreatic ductal adenocarcinoma (PDAC) exhibits profound therapy resistance driven by lysosome-dependent nutrient recycling, metabolic adaptation, and stress tolerance. Current lysosome targeting agents such as chloroquine (CQ)/hydroxychloroquine (HCQ) show limited efficacy due to transient activity and dose-limiting-toxicities. To overcome these limitations, we developed lysostilbenes, a new cla",https://pubmed.ncbi.nlm.nih.gov/42410967/,PubMed
Construction and validation of a lncRNA/circRNA-miRNA-mRNA ceRNA network in allergic rhinitis pathogenesis.,"Zhang Shaojie, Ban Molu, Wang Rong",BMC medical genomics,2026-07-07,"The lncRNA/circRNA-miRNA-mRNA interaction constructs a competing endogenous RNAs (ceRNAs) network, which is closely related to inflammation. However, their roles in allergic rhinitis (AR) remain unclear. In this study, we investigated the regulatory role of ceRNA networks in AR pathogenesis by analyzing long non-coding RNAs (lncRNAs) and circular RNAs (circRNAs), then constructing a lncRNA/circRNA",https://pubmed.ncbi.nlm.nih.gov/42410433/,PubMed
Acetate ameliorates membranous nephropathy by modulating the immune response and podocyte function.,"Liu Jing, Cui Yan-Yan, Zheng Kai",BMC nephrology,2026-07-07,"Membranous nephropathy (MN) is an antibody-mediated podocytopathy in which subepithelial immune deposits and complement activation lead to podocyte injury and proteinuria. Short-chain fatty acids (SCFAs) are microbiota-derived metabolites with immunomodulatory properties, but their therapeutic potential and mechanisms in MN remain incompletely defined. We evaluated acetate, propionate, and butyrat",https://pubmed.ncbi.nlm.nih.gov/42410386/,PubMed
PYRIN m,"Sun He, Peng Xiang-Yan, Ye Meng-Meng",Acta pharmacologica Sinica,2026-07-07,"Sepsis-induced cardiomyopathy (SIC) is a major contributor to mortality in patients with sepsis, with PANoptosis-a form of inflammatory programmed cell death-emerging as a critical mechanism. This study investigated the upstream regulatory axis involving m",https://pubmed.ncbi.nlm.nih.gov/42410248/,PubMed
RNA m,"Gao Xue-Feng, Shi Gao-Na, Wang Ya-Nan",Acta pharmacologica Sinica,2026-07-07,N,https://pubmed.ncbi.nlm.nih.gov/42410246/,PubMed
OMIDIENT: Multiomics Integration for Cancer by Dirichlet Auto-Encoder Networks.,"Safinianaini Negar, Välimäki Niko, Bresson Roman",Communications biology,2026-07-07,"To achieve a more comprehensive understanding of cancer, novel computational methods are required for the integrative analysis of data from different molecular layers, such as genomics, transcriptomics, and epigenomics. Here, we present an innovative multi-omics integrative method that performs unsupervised representation learning, referred to as OMIDIENT: multiOMics Integration for cancer by DIri",https://pubmed.ncbi.nlm.nih.gov/42410237/,PubMed
Multi-layer network biology combined with single-cell evidence reveals core regulatory nodes in atherosclerotic plaques and potential drug-targeting directions.,"Huang Dajun, Liu Ying, Wang Yilan",Naunyn-Schmiedeberg's archives of pharmacology,2026-07-07,"Atherosclerosis (AS) is driven by intertwined inflammatory responses and vascular wall remodeling, yet the core regulatory networks and actionable targets underlying plaque formation remain incompletely defined. Bulk transcriptomic data from GSE43292, comprising paired advanced carotid plaques and distant early-stage lesion tissues from 32 patients, were analyzed to identify differentially express",https://pubmed.ncbi.nlm.nih.gov/42410224/,PubMed
NAT10 drives head and neck squamous cell carcinoma proliferation via ac4C modification of DDIT4 mRNA.,"Song Panpan, Xiao Qian, Jiang Yue",Scientific reports,2026-07-07,"N-acetyltransferase 10 (NAT10) is the principal enzyme responsible for N4-acetylcytidine (ac4C) modification in mRNA, a process that regulates target gene expression and contributes to the development of various diseases. Emerging evidence indicates that NAT10 plays a role in tumor progression across multiple cancer types; however, its specific function in head and neck squamous cell carcinoma (HN",https://pubmed.ncbi.nlm.nih.gov/42410175/,PubMed
SARS-CoV-2-specific immunity after XBB.1.5 vaccination is not significantly altered by subsequent influenza vaccination in dialysis patients.,"Bronder Saskia, Urschel Rebecca, Reinhardt Felix",Scientific reports,2026-07-07,"Annual immunisation against COVID-19 and seasonal influenza before the winter waves is increasingly recommended in routine practice. These vaccines may be administered on the same day or sequentially, yet data on the immunogenicity of consecutive vaccinations in patients on dialysis remain limited. In this real-world observational study, we assessed SARS-CoV-2-specific immune responses in dialysis",https://pubmed.ncbi.nlm.nih.gov/42410167/,PubMed
Oxymatrine suppresses neuroinflammation via promoting microglial M2 polarization through FTO-dependent m,"Li Ping, Zhang Shengnan, Xia Fei",Scientific reports,2026-07-07,"Microglia play a pivotal role in neuroinflammation, and targeting their activation has emerged as a promising therapeutic strategy for brain injury. Oxymatrine (OMT) exhibits anti-inflammatory and neuroprotective properties; however, whether OMT regulates microglial M1/M2 polarization via epigenetic mechanisms, particularly RNA N6-methyladenosine (m",https://pubmed.ncbi.nlm.nih.gov/42410145/,PubMed
