title,authors,journal,date,abstract,link,source
Loss of eIF3m aggravates myocardial ischemia/reperfusion injury via enhancing nitrative damage and inhibiting glycolytic reprogramming.,"Wei Zilun, Zhao Yongchao, Jia Daile",Science bulletin,2026-08-23,"The reprogramming of myocardial energy metabolism is critical for cardiac repair after ischemia/reperfusion (I/R) injury, yet the upstream translational control mechanisms remain elusive. Here, through multi-omics analysis of human failing hearts, we identify the mRNA regulator eIF3m as an essential factor for maintaining cardiac glycolytic flux post-I/R. We show that eIF3m, independently of the c",https://pubmed.ncbi.nlm.nih.gov/42632795/,PubMed
Exploration of the therapeutic potential of the HRH3 histamine receptor in MECP2-related disorders.,"Weiss Kelly, Vermudez Sheryl A D, Freitas Geanne",Neuropharmacology,2026-08-23,"Rett syndrome (RTT) and MECP2 Duplication syndrome (MDS) are disorders caused by decreases and increases in the expression of the transcriptional regulator, Methyl CpG Binding Protein 2 (MeCP2), respectively. We previously performed an mRNA expression profiling study of the temporal cortex region from patients diagnosed with RTT and corresponding age, postmortem interval, and sex-matched controls.",https://pubmed.ncbi.nlm.nih.gov/42632612/,PubMed
Interactive effects of temperature and microplastic size on biofilm formation and Vibrio harveyi infection in Korean rockfish Sebastes schlegelii.,"Kwon Young Hoon, Kim Kun Woo, Kim Jun-Hwan","Comparative biochemistry and physiology. Part B, Biochemistry & molecular biology",2026-08-23,"Environmental changes affect microplastic (MP) biofilms, but how the resulting bacterial adsorption influences infection rates and physiological responses in fish remains unclear. This study investigated the combined effects of temperature (18 °C, 22 °C, and 26 °C) and MP size (102 and 220 μm) on biofilm formation and the subsequent effects on Vibrio harveyi infection and physiological responses i",https://pubmed.ncbi.nlm.nih.gov/42632409/,PubMed
"Immunostimulatory effects of dietary fucoidan from Padina boergesenii on growth, digestive performance, immune response and transcription of immune-related genes in Channa striata and disease resistance to Aeromonas hydrophila.","Ragunath Cholaraj, Venkatachalam Ramasubramanian, Subburam Krishnaveni",Veterinary immunology and immunopathology,2026-08-23,"The objective of this research was to evaluate the antibacterial properties against Aeromonas hydrophila and histological responses, immunological mechanisms, gene expression and disease resistance in Channa striata. The fish were separated into five groups and given meals with various amounts of fucoidan diet (0%, 0.5%, 1.5%, 2.5%, and 3.5%) for 45 days. The study's findings show that adding 2.5%",https://pubmed.ncbi.nlm.nih.gov/42632385/,PubMed
Prognostic value of CD103+ tumor-infiltrating lymphocytes in bladder cancer: A systematic review and meta-analysis.,"Teixeira Eduardo Germano, Torres Lucas Antônio Fernandes, Defante Maria Luiza Rodrigues",Urologic oncology,2026-08-23,"CD103+ tissue-resident memory T cells are emerging mediators of antitumor immunity whose prognostic significance in bladder cancer, across muscle-invasive and metastatic urothelial carcinoma, remains undefined at a meta-analytic level. We performed a systematic review and meta-analysis of cohorts with histologically confirmed muscle-invasive bladder cancer or metastatic urothelial carcinoma, compa",https://pubmed.ncbi.nlm.nih.gov/42632294/,PubMed
"Organophosphate flame retardants and incident type 2 diabetes: Integrating population evidence, mechanistic insights, and effect modification by healthy lifestyle.","Wu Xueyan, Zhou Yilin, Nie Yue",Journal of hazardous materials,2026-08-23,"Higher exposure to organophosphate flame retardants (OPFRs) may contribute to type 2 diabetes mellitus (T2DM), but prospective evidence, lifestyle modification, and biological plausibility remain insufficiently characterized. We conducted a nested case-control study within the Henan Rural Cohort to evaluate associations between OPFRs exposure and incident T2DM. Cox models, WQS, QGC, BKMR, and an a",https://pubmed.ncbi.nlm.nih.gov/42632240/,PubMed
Blue artificial light at night is associated with cognitive impairment involving alterations in microglial TREM2-TYROBP signaling and phospholipid metabolism: A multi-omics study.,"Sun Zuodong, Lei Ting, Tan Shuanglong",Ecotoxicology and environmental safety,2026-08-23,"Artificial light at night, especially the blue wavelength spectrum (ALAN-BL), is an increasingly prevalent environmental contributor to cognitive impairment. However, the underlying mechanisms remain poorly understood. This study established a dose-dependent mouse model of ALAN-BL exposure (5, 10, and 20 lux) to systematically investigate the effects of ALAN-BL on behavioral performance and hippoc",https://pubmed.ncbi.nlm.nih.gov/42632171/,PubMed
Combinatorial Optimization of Protein Systems in Synthetic Cells.,"van den Brink Marijn, Claassens Nico J, Danelon Christophe",ACS synthetic biology,2026-08-23,"In vitro reconstitution of protein systems─e.g., metabolic pathways, genetic circuits, or biosensors─often requires optimization to enhance their activity. Combinatorial DNA libraries that simultaneously target multiple genes allow for a holistic optimization strategy by studying the interplay between the systems' components, which may reveal DNA variants that would be hidden when testing each ele",https://pubmed.ncbi.nlm.nih.gov/42632026/,PubMed
16S ribosomal RNA modification drives transcript-specific translation efficiency.,"Park Zachory M, Savage Christina R, Decker-Farrell Amanda R",Cell reports,2026-08-23,"Bacterial ribosomal RNAs (rRNAs) are decorated with conserved nucleotide modifications, but the functionality of these modifications is often underexplored. MraW (RsmH) is a 16S rRNA methyltransferase. Here, we report that deletion of mraW corrects a late-stage sporulation defect in Bacillus subtilis by bypassing a sporulation checkpoint. Ribosomes purified from ΔmraW cells display a ∼2-fold decre",https://pubmed.ncbi.nlm.nih.gov/42632017/,PubMed
SMAD4 mRNA expression as a diagnostic biomarker in non-small cell lung cancer.,"Babic Tamara, Karanovic Jelena, Stankovic Tijana",Molecular biology reports,2026-08-23,"Non-small cell lung cancer (NSCLC) remains one of the leading causes of cancer-related mortality worldwide, largely due to late-stage diagnosis. Although histopathology is the gold standard, there is a need for reliable molecular biomarkers to improve early detection and support less invasive diagnostic strategies. SMAD4, a known tumor suppressor, has been implicated in cancer progression, but its",https://pubmed.ncbi.nlm.nih.gov/42631856/,PubMed
ARAP3 Facilitates Glioma Progression via IGF2BP3-Mediated m6A Modification Stabilization.,"Li Jinmiao, Yu Huiping, Zhang Jinning",Cell biochemistry and biophysics,2026-08-23,"N6-methyladenosine (m6A)-dependent post-transcriptional regulation is increasingly recognized as a key driver of malignant progression. However, the role and regulatory mechanism of ARAP3 in glioma remain incompletely understood. ARAP3 expression was analyzed in 112 paired glioma and adjacent tissues by qRT-PCR and Western blot. Its diagnostic and clinical relevance were evaluated using ROC analys",https://pubmed.ncbi.nlm.nih.gov/42631825/,PubMed
"METTL3-Mediated m6A Modification of ACTR2 Promotes Trophoblast Cell Growth, Migration and Invasion in Unexplained Recurrent Spontaneous Abortion.","Ren Maohua, Wang Lina, Li Rongqin",Cell biochemistry and biophysics,2026-08-23,"Actin-related protein 2 (ACTR2) is an important factor in the regulation of cell function and is considered to be a potential therapeutic target for RSA. However, whether ACTR2 mediates unexplained RSA by regulating trophoblast cell function remains unclear. The expression of ACTR2 and methyltransferase-like 3 (METTL3) in the villous tissues of unexplained RSA patients and trophoblast cells (HTR-8",https://pubmed.ncbi.nlm.nih.gov/42631821/,PubMed
