title,authors,journal,date,abstract,link,source
"Design and development of 2,7-disubstituted 6-methoxyquinazolin-4 (3","Murumkar Prashant R, Neogi Kaushik, Meher Premlal",Future medicinal chemistry,2026-08-17,"A novel series of 2,7-disubstituted 6-methoxyquinazolin-4(3 Compounds were docked, synthesiazed and then evaluated for  The derivatives showed favorable binding with the active site residues on β-catenin and have the potential to disrupt the β-catenin/TCF4 interaction. Most of them have comparable anti-cancer activity to imatinib mesylate. Compound  Compound (",https://pubmed.ncbi.nlm.nih.gov/42605575/,PubMed
Upregulation of CREB1 by Mycobacterium Tuberculosis Transcriptionally Activates TREM2 to Promote Macrophage M2 Polarization.,"Zhu Yufeng, Xu Mingzhong, Liu Danxia",Cell biochemistry and function,2026-08-17,"Tuberculosis, caused by Mycobacterium tuberculosis (MTB), affects approximately 25% of people globally as latent infection (LTBI). Although macrophage CREB activation promotes MTB survival, the underlying mechanisms remain unclear. This study reveals, for the first time, how MTB modulates M2 macrophage polarization through the CREB1/TREM2 signaling pathway. Mononuclear macrophages were isolated fr",https://pubmed.ncbi.nlm.nih.gov/42605552/,PubMed
The Integrin Signature of Ankylosing Spondylitis: Divergent Regulation of CD29 and CD49b in HLA-B27-Positive Cohorts in Iraqi Patients.,"Alshammari Ahmed Ali, Mohsin Muslim Idan",Iranian journal of pathology,2026-08-17,"Ankylosing spondylitis (AS) is a systemic inflammatory disorder where the HLA-B27 allele significantly influences disease severity. This study evaluated the molecular profiles of integrins CD29 and CD49b in peripheral blood mononuclear cells (PBMCs) to identify potential biomarkers associated with HLA-B27 status. In this cross-sectional study of an Iraqi cohort, 130 participants were recruited: 50",https://pubmed.ncbi.nlm.nih.gov/42605454/,PubMed
Electroacupuncture Ameliorates Scopolamine-Induced Dry Eye Disease in Mice by Restoring Lacrimal Gland Lipid Homeostasis and Reducing IL-1β/IL-18 Expression.,"Liang Shangjie, Ji Tengyan, Wu Xia",Journal of immunology research,2026-08-17,"Dry eye disease (DED) can lead to severe eye discomfort, which manifests as dryness, pain and decreased vision, and significantly affects daily life. This study elucidated the effects of electroacupuncture (EA) intervention on DED and clarified its potential mechanisms through changes in lacrimal gland lipid metabolism and inflammation. A DED mouse model was established by repeated subcutaneous in",https://pubmed.ncbi.nlm.nih.gov/42605202/,PubMed
Immunological Evaluation of mRNA-LNP Vaccines Targeting Conserved S2 and NSP3 Domains of SARS-CoV-2.,"Begum Feroza, Mallik Md Hasan, Ghora Subhadip",Biotechnology journal,2026-08-17,"The evolution of SARS-CoV-2 necessitates next-generation vaccine strategies targeting conserved viral elements to ensure broad and durable protection. In this study, we designed and evaluated novel mRNA-based vaccines encoding conserved domains of SARS-CoV-2, including the spike S2 subunit, NSP3 Macrodomain I (Mac I), and papain-like protease (PLpro). These mRNAs were synthesized, cloned, and enca",https://pubmed.ncbi.nlm.nih.gov/42605164/,PubMed
Durational Study of Persistent Transduction of Rhesus Macaque Lung and Other Organs Following Single Dosing with AAV1-CFTR.,"Paul Prajita, Sharma Tanvi, Afshani Masoud",Human gene therapy,2026-08-17,"Adeno-associated virus (AAV)-mediated gene transfer remains a promising strategy for cystic fibrosis (CF), but durability of expression and optimal dosing intervals are unresolved challenges. Here, we evaluated long-term gene transfer, transduction, and immunological responses following a single pulmonary administration of an AAV1 vector encoding Δ27-264 CFTR to juvenile rhesus macaques. Four anim",https://pubmed.ncbi.nlm.nih.gov/42605109/,PubMed
Shaping Spliceosome Dynamics Through Protein Arginine Methylation.,"Wu Sai, Schneggenburger Kelly, Yu Michael C",Wiley interdisciplinary reviews. RNA,2026-08-17,"Accurate removal of intervening intronic sequences from pre-mRNA is required for proper eukaryotic gene expression. This process, termed pre-mRNA splicing, is carried out by a spliceosome, a dynamic RNA-protein macromolecular machinery. Proteomic studies have shown that many spliceosomal components and associated factors harbor protein arginine methylation, a type of post-translational modificatio",https://pubmed.ncbi.nlm.nih.gov/42604847/,PubMed
mi-RNA-mRNA Alterations in Sorted T-Cells of Acquired Aplastic Anemia: Validating the Observations of a Pilot Study.,"Sabereen Ghazala, Gupta Ruchi, Singh Manish Kumar",International journal of laboratory hematology,2026-08-17,"An altered T-cell repertoire with aberrant immune activation is central to the pathogenesis of acquired aplastic anemia (aAA), and miRNAs are known to orchestrate T-cell activation; their relationship is, however, incompletely explored in aAA. The study aimed to validate specific miRNA-mRNA pairs involved in aberrant T-cell activation, differentiation, and cytokine levels in aAA. This was a prospe",https://pubmed.ncbi.nlm.nih.gov/42604788/,PubMed
Macrophage-Targeted Sod2 mRNA Nanotherapy Reduces Mitochondrial Oxidative Stress and Stabilizes Vulnerable Atherosclerotic Plaques.,"Vendrov Aleksandr E, Levin Julia, Fernandes Chamon Jamille Silveira",Free radical biology & medicine,2026-08-17,"Mitochondrial oxidative stress contributes to atherosclerotic plaque progression and instability, yet no therapies directly target mitochondrial redox imbalance. Superoxide dismutase 2 (SOD2), the primary mitochondrial antioxidant enzyme, has been linked to increased plaque vulnerability when its expression is reduced. We evaluated whether targeted restoration of SOD2 in plaque macrophages using p",https://pubmed.ncbi.nlm.nih.gov/42604671/,PubMed
CLIC3 promotes lung cancer cell proliferation by regulating intracellular chloride and ROS levels.,"Zhang Xiaohui, Qiao Haoyang, Ma Xingjie",Gene,2026-08-17,"Lung cancer is one of the most prevalent and lethal malignancies worldwide, ranking among the leading causes of cancer-related morbidity and mortality. Uncontrolled cellular proliferation constitutes its central pathological hallmark, underscoring the critical need to identify novel, druggable therapeutic targets. Recent studies have demonstrated that chloride intracellular channel 3 (CLIC3), a mu",https://pubmed.ncbi.nlm.nih.gov/42604641/,PubMed
